original,article,anchor,link,context
Статья 1,1,z1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z1h"">Статья 1</a>",Статья 1 предусматривается в редакции Закона РК от 09.01.2026
Статья 2,2,z2h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z2h"">Статья 2</a>",Статья 2 предусматривается в редакции Закона РК от 09.01.2026
Статья 3,3,z3h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z3h"">Статья 3</a>",Статья 3 предусматривается в редакции Закона РК от 09.01.2026
Статья 4,4,z4h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z4h"">Статья 4</a>",Статья 4 предусматривается в редакции Закона РК от 09.01.2026
статьей 39-1,39-1,z39-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z39-1h"">статьей 39-1</a>",4. Создание и развитие информационных систем специальных государственных органов Республики
Статья 5,5,z5h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z5h"">Статья 5</a>",Статья 5 предусматривается в редакции Закона РК от 09.01.2026
Статья 6,6,z6h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z6h"">Статья 6</a>",Статья 6 предусматривается в редакции Закона РК от 09.01.2026
Статью 7,7,z7h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7h"">Статью 7</a>",Статью 7 предусматривается исключить Законом РК от 09.01.2026
Статья 7-1,7-1,z7-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-1h"">Статья 7-1</a>",Статья 7-1 предусматривается в редакции Закона РК от 09.01.2026
Статья 7-2,7-2,z7-2h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-2h"">Статья 7-2</a>",Статья 7-2 предусматривается в редакции Закона РК от 09.01.2026
пункта 2 настоящей статьи,7-2_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z405"">пункта 2</a> настоящей статьи",4. Требование пункта 2 настоящей статьи не распространяется на правоохранительные и специал
Статья 7-3,7-3,z7-3h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-3h"">Статья 7-3</a>",Статья 7-3 предусматривается в редакции Закона РК от 09.01.2026
пункта 2 настоящей статьи,7-3_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z413"">пункта 2</a> настоящей статьи",4. Требование пункта 2 настоящей статьи не распространяется на банки второго уровня Республ
Статья 7-4,7-4,z7-4h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-4h"">Статья 7-4</a>",Статья 7-4 предусматривается в редакции Закона РК от 09.01.2026
Статья 7-5,7-5,z7-5h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-5h"">Статья 7-5</a>",Статья 7-5 предусматривается в редакции Закона РК от 09.01.2026
статьи 7-2,7-2,z7-2h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-2h"">статьи 7-2</a>",статьи 7-2 настоящего Закона.
Статью 7-6,7-6,z7-6h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-6h"">Статью 7-6</a>",Статью 7-6 предусматривается исключить Законом РК от 09.01.2026
Статья 7-7,7-7,z7-7h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-7h"">Статья 7-7</a>",Статья 7-7 предусматривается в редакции Закона РК от 09.01.2026
Статья 7-8,7-8,z7-8h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z7-8h"">Статья 7-8</a>",Статья 7-8 предусматривается в редакции Закона РК от 09.01.2026
Статью 8,8,z8h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z8h"">Статью 8</a>",Статью 8 предусматривается исключить Законом РК от 09.01.2026
Статья 9,9,z9h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z9h"">Статья 9</a>",Статья 9 предусматривается в редакции Закона РК от 09.01.2026
Статью 9-1,9-1,z1382,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z1382"">Статью 9-1</a>",Статью 9-1 предусматривается исключить Законом РК от 09.01.2026
Статья 10,10,z10h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z10h"">Статья 10</a>",Статья 10 предусматривается в редакции Закона РК от 09.01.2026
Статью 11,11,z11h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z11h"">Статью 11</a>",Статью 11 предусматривается исключить Законом РК от 09.01.2026
Статью 12,12,z12h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z12h"">Статью 12</a>",Статью 12 предусматривается исключить Законом РК от 09.01.2026
Статью 13,13,z13h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z13h"">Статью 13</a>",Статью 13 предусматривается исключить Законом РК от 09.01.2026
Статью 13-3,13-3,z13-3h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z13-3h"">Статью 13-3</a>",Статью 13-3 предусматривается исключить Законом РК от 09.01.2026
Статью 13-4,13-4,z13-4h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z13-4h"">Статью 13-4</a>",Статью 13-4 предусматривается исключить Законом РК от 09.01.2026
Статья 14,14,z14h,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000418#z14h"">Статья 14</a>",Статья 14 предусматривается в редакции Закона РК от 09.01.2026
