original,article,anchor,link,context
пункта 1 статьи 4-2,4-2,z815,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z815"">пункта 1 статьи 4-2</a>",4) иные сведения в соответствии с частью второй пункта 1 статьи 4-2 настоящего Закона.
статей 80,80,z162,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z162"">статей 80</a>","2. Если лицо, обратившееся за совершением нотариального действия, не владеет языком, на кот"
части первой,6_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z60"">части первой</a>","На государственного нотариуса распространяются требования, указанные в части первой настоящ"
"подпунктах 2), 3) пункта 2 статьи 1",1,z2,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z20"">подпунктах 2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z22"">3)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z16"">пункта 2</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z2"">статьи 1</a>","3. Совершение нотариальных действий лицами, не имеющими лицензии, предусмотренной пунктом 1"
пунктом 1 настоящей статьи,6_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z60"">пунктом 1</a> настоящей статьи","3. Совершение нотариальных действий лицами, не имеющими лицензии, предусмотренной пунктом 1"
статьи 15,15,z31,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z31"">статьи 15</a>",статьи 15 настоящего Закона;
пунктом 2 настоящей статьи,10_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z110"">пунктом 2</a> настоящей статьи",3. В решении о приостановлении действия лицензии нотариуса должны быть указаны причины и ср
пунктом 2-1 настоящей статьи,10_p2-1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z710"">пунктом 2-1</a> настоящей статьи","3-1. Возобновление действия лицензии на право занятия нотариальной деятельностью, приостано"
пункте 2-1 статьи 10,10,z21,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z21"">пункте 2-1 статьи 10</a>","6) трехкратного приостановления действия лицензии, за исключением случаев, указанных в пунк"
пункта 4 настоящей статьи,15_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z175"">пункта 4</a> настоящей статьи",7. В одном помещении могут работать один или несколько нотариусов в случае соблюдения ими т
пункте 1 статьи 34,34,z214,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z214"">пункте 1 статьи 34</a>",1. Частный нотариус обязан заключить договор страхования гражданско-правовой ответственност
"подпунктами 1), 2), 4), 4-1) и 6) пункта 1 статьи 12",12,z25,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z136"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z137"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z141"">4)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z143"">4-1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z148"">6)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z135"">пункта 1</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z25"">статьи 12</a>",8) передать все находящиеся на хранении нотариальные документы в частный нотариальный архив
"подпунктами 3), 4), 5) пункта 1 статьи 34",34,z214,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z329"">подпунктами 3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z330"">4)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z331"">5)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z326"">пункта 1</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z214"">статьи 34</a>","3. Территория деятельности нотариуса соблюдается при совершении нотариусом действий, предус"
статьи 92-1,92-1,z681,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z681"">статьи 92-1</a>",статьи 92-1 настоящего Закона. Во всех остальных случаях физические и юридические лица для совершен
пунктами 1 и 2 настоящей статьи,21_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z3"">пунктами 1</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z5"">2</a> настоящей статьи","4. Помещение для совершения нотариальных действий должно находиться в пределах территории,"
подпункте 2) пункта 2 статьи 1,1,z2,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z20"">подпункте 2)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z16"">пункта 2</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z2"">статьи 1</a>","Лица, указанные в подпункте 2) пункта 2 статьи 1 настоящего Закона, проходят аттестацию в т"
пункта 3 настоящей статьи,24-1_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z722"">пункта 3</a> настоящей статьи","5. Решения, предусмотренные подпунктами 1) и 2) пункта 3 настоящей статьи, принимаются боль"
пункта 3 настоящей статьи,24-1_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z722"">пункта 3</a> настоящей статьи","5. Решения, предусмотренные подпунктами 1) и 2) пункта 3 настоящей статьи, принимаются боль"
статьи 6,6,z13,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z13"">статьи 6</a>","5. Лицу, имеющему лицензию на право занятия нотариальной деятельностью, не может быть отказ"
статьей 28-2,28-2,z893,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z893"">статьей 28-2</a>","3) разрабатывает документы, подлежащие утверждению съездом Республиканской нотариальной пал"
пунктом 1 настоящей статьи,30_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z271"">пунктом 1</a> настоящей статьи","5. Льготы по оплате нотариальных действий для физических и юридических лиц, предусмотренные"
статьи 34,34,z214,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z214"">статьи 34</a>",статьи 34 настоящего Закона;
статьи 16,16,z33,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z33"">статьи 16</a>",2-1) организует контроль за соблюдением частными нотариусами требований статьи 16 настоящег
статье 37,37,z71,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z71"">статье 37</a>","1. Должностные лица, перечисленные в статье 37 настоящего Закона, обязаны в течение десяти"
статьи 3,3,z6,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z6"">статьи 3</a>",2. Выдача дубликата документа производится с соблюдением требований статьи 3 настоящего Зак
"подпунктами 7), 8), 9), 10) и 11) пункта 5 статьи 42",42,z82,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z82"">подпунктами 7)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z82"">8)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z82"">9)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z82"">10)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z82"">11)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z82"">пункта 5</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z82"">статьи 42</a>","6) о взыскании задолженности с собственников квартир, нежилых помещений, парковочных мест,"
статьи 92-1,92-1,z681,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z681"">статьи 92-1</a>",статьи 92-1 настоящего Закона совершается по месту регистрации либо месту жительства должника (физи
пункта 2 статьи 92-1,92-1,z681,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z681"">пункта 2 статьи 92-1</a>","пункта 2 статьи 92-1 настоящего Закона совершается по месту регистрации либо месту жительства, либо"
статьи 99-2,99-2,z969,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000155_#z969"">статьи 99-2</a>",В ч. 2 статьи 99-2 предусматривается изменение Законом РК от 09.01.2026
