original,article,anchor,link,context
пункта 8) части второй статьи 22,22,z176,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z176"">пункта 8) части второй статьи 22</a>","настоящего Кодекса, за исключением подпункта 8) части второй статьи 22 настоящего Кодекса."
пунктом 2) настоящей части,31_3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z271"">пунктом 2)</a> настоящей части","В случаях, предусмотренных подпунктом 2) настоящей части, иск может быть подан прокурором в"
частью восьмой,32_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z302"">частью восьмой</a>","7. Лицо, вызванное в качестве свидетеля, обязано явиться в суд в назначенное время, за искл"
статьи 41,41,z419,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z419"">статьи 41</a>","статьи 41 настоящего Кодекса, по уровням государственного управления и включает функции, переданные"
Статью 43-2,43,z436,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z436"">Статью 43-2</a>",Статью 43-2 предусматривается исключить Законом РК от 09.01.2026
Статью 43-3,43,z436,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z436"">Статью 43-3</a>",Статью 43-3 предусматривается исключить Законом РК от 09.01.2026
Статью 43-4,43,z436,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z436"">Статью 43-4</a>",Статью 43-4 предусматривается исключить Законом РК от 09.01.2026
статьи 45,45,z451,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z451"">статьи 45</a>",Ч.5 статьи 45 предусматривается исключить Законом РК от 09.01.2026
статьи 45,45,z451,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z451"">статьи 45</a>",Ч.5-1 статьи 45 предусматривается исключить Законом РК от 09.01.2026
статьи 45,45,z451,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z451"">статьи 45</a>",Ч.6 статьи 45 предусматривается исключить Законом РК от 09.01.2026
статьи 45,45,z451,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z451"">статьи 45</a>",Ч.7 статьи 45 предусматривается исключить Законом РК от 09.01.2026
статьи 47,47,z473,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z473"">статьи 47</a>",В ч.8  статьи 47 предусматривается изменение Законом РК от 09.01.2026
частью первой,53_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z520"">частью первой</a>",Уполномоченный орган в сфере развития системы государственного управления на основании свед
части первой,62_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z615"">части первой</a>","2. В случае, предусмотренном подпунктом 1) части первой настоящей статьи, административная"
части первой,62_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z615"">части первой</a>",3. Основанием для возбуждения административной процедуры согласно подпункту 2) части первой
статьи 64,64,z630,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z630"">статьи 64</a>",Ч.4 статьи 64 предусматривается в редакции Закона РК от 09.01.2026
статьи 64,64,z630,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z630"">статьи 64</a>",В ч.5 статьи 64 предусматривается изменение Законом РК от 09.01.2026
частью шестой,64_p6,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z638"">частью шестой</a>","1) по истечении установленного административным органом, должностным лицом срока, предусмот"
части седьмой,64_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z639"">части седьмой</a>",7-1. Действие части седьмой настоящей статьи распространяется также на коллективные обращен
части седьмой,64_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z639"">части седьмой</a>","7-2. Действие части седьмой настоящей статьи не распространяется на случаи, когда в обращен"
части седьмой,64_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z639"">части седьмой</a>",8. Возврат обращения не препятствует повторному обращению. В случае повторной подачи обраще
части четвертой,68_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z675"">части четвертой</a>","5. Представители, указанные в части четвертой настоящей статьи, отстраняются административн"
частью третьей,73_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z719"">частью третьей</a>",1) приглашения участника административной процедуры на заслушивание по административному де
части первой,73_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z705"">части первой</a>","2. Положения части первой настоящей статьи могут не применяться в случаях, если:"
пунктом 4) настоящей части,73_2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z714"">пунктом 4)</a> настоящей части","В случае, установленном подпунктом 4) настоящей части, административный орган, должностное"
Статью 73,73,z704,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z704"">Статью 73</a>",Статью 73 предусматривается дополнить примечанием в соответствии с Законом РК от 17.12.2025
статьей 66,66,z647,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z647"">статьей 66</a>","1. Административный акт, принятый в письменной (бумажной) форме, доводится до сведения учас"
частью шестой,84_p6,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z796"">частью шестой</a>","7. Незаконный благоприятный административный акт подлежит отмене только в случаях, предусмо"
части шестой,84_p6,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z796"">части шестой</a>","8. Вред, возникший в результате отмены незаконного благоприятного административного акта по"
части первой,88_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z820"">части первой</a>","Решение о прекращении упрощенной административной процедуры при наличии обстоятельства, пре"
части первой,90_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z834"">части первой</a>","2. В целях обеспечения личного приема сотрудники органов, указанных в части первой настояще"
части четвертой,90-2_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1500"">части четвертой</a>",5. Уполномоченный орган в сфере взаимодействия государства и гражданского общества в течени
части четвертой,90-2_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1500"">части четвертой</a>","6. В случае несоответствия петиции условиям, указанным в части четвертой настоящей статьи,"
части четвертой,90-2_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1500"">части четвертой</a>","7. В случае соответствия петиции условиям, указанным в части четвертой настоящей статьи, уп"
части четвертой,90-3_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1514"">части четвертой</a>","5. Петиция, не достигшая порогового значения, указанного в части четвертой настоящей статьи"
статьи 90-3,90,z833,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z833"">статьи 90-3</a>","1. При достижении порогового значения, указанного в части четвертой статьи 90-3 настоящего"
части четвертой,91_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z844"">части четвертой</a>",4-1. Положения части четвертой настоящей статьи распространяются на жалобу государственного
1-1 настоящей статьи,92_1-1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1635"">1-1</a> настоящей статьи","2. В случае пропуска по уважительной причине срока, установленного частями первой и 1-1 нас"
части первой,96_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z879"">части первой</a>","2. В применимых случаях в административном акте должны содержаться указания на исключения,"
части первой,100_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z900"">части первой</a>","2. Орган, рассматривающий жалобу, выносит решение, предусмотренное подпунктами 1), 2) и 3)"
части первой,100_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z900"">части первой</a>","3. Основаниями для вынесения решения, предусмотренного подпунктами 1), 2), 3) и 5) части пе"
статьей 105,105,z938,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z938"">статьей 105</a>",1. Судебные акты по административным делам в кассационном порядке подлежат рассмотрению в к
частью первой,105_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z939"">частью первой</a>","2. Судебные акты по административным делам, предусмотренные частью первой настоящей статьи,"
частью второй,112_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z984"">частью второй</a>","1. Судебное разбирательство происходит при обязательном участии ответчика, за исключением с"
главой 18,ch18,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1068"">главой 18</a>","В случае неявки лиц, участие которых признано судом обязательным, суд вправе применить к ни"
части третьей,118_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1031"">части третьей</a>","4. Определение, которое выносится в зале судебного заседания, должно содержать сведения, пе"
статьи 123,123,z1069,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1069"">статьи 123</a>",статьи 123 настоящего Кодекса.
части второй,138_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1183"">части второй</a>","3. Возврат иска не препятствует повторному обращению с иском в суд, за исключением подпункт"
главой 16,ch16,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z928"">главой 16</a>","Гражданин, общественное объединение, член избирательной комиссии, доверенные лица кандидато"
статьей 105,105,z938,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z938"">статьей 105</a>",3. Решение суда по административным делам об оспаривании решений и действий (бездействия) Ц
статьей 159-1,159,z1331,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1331"">статьей 159-1</a>",4. Решение суда о признании незаконным подзаконного нормативного правового акта (его положе
частью седьмой,169_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1672"">частью седьмой</a>",3-1. Вступившие в законную силу судебные акты местных и других судов в случае несоблюдения
статьей 31,31,z264,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z264"">статьей 31</a>",3-1. Вступившие в законную силу судебные акты местных и других судов в случае несоблюдения
части 3-1,169_3-1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1671"">части 3-1</a>",7. Основаниями к пересмотру в кассационном порядке вступивших в законную силу судебных акто
частью первой,169-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1581"">частью первой</a>",2. Судья Верховного Суда Республики Казахстан по ходатайству участников административного п
частью первой,169-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1581"">частью первой</a>",3. Генеральный Прокурор Республики Казахстан вправе принести протест о пересмотре в Верховн
статьи 127,127,z1086,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1086"">статьи 127</a>","4. Неисполнение решения суда, определения суда о наложении денежного взыскания влечет повто"
подпунктом 1),62,z616,"
      2. В случае, предусмотренном <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z616"">подпунктом 1)</a> ",
подпункту 2),62,z617,"
      3. Основанием для возбуждения административной процедуры согласно <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z617"">подпункту 2)</a> ",
подпункта 2) ,64,http://85.202.192.66:9096/rus/docs/K2000000350#z639,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z639"">подпункта 2) части седьмой</a>",
подпунктом 3),4,z48,"
      Не подлежат учету предложения, содержащие рекламу, обращения, поступившие по вопросам оказания государственных услуг, за исключением обращений, предусмотренных <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z48"">подпунктом 3)</a> ",
подпунктами 1) и 4) ,84,http://85.202.192.66:9096/rus/docs/K2000000350#z796,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z796"">подпунктами 1) и 4) части шестой</a>",
подпунктом 1),88,z821,"
      Решение о прекращении упрощенной административной процедуры при наличии обстоятельства, предусмотренного <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z821"">подпунктом 1)</a> ",
подпунктами 1) и 3),96,z880,"
      2. В применимых случаях в административном акте должны содержаться указания на исключения, предусмотренные <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z880"">подпунктами 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z882"">3)</a> ",
"подпунктами 1), 2) и 3)",100,z901,"
      2. Орган, рассматривающий жалобу, выносит решение, предусмотренное <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z901"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z902"">2)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z903"">3)</a> ",
"подпунктами 1), 2), 3) и 5)",100,z901,"
      3. Основаниями для вынесения решения, предусмотренного <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z901"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z902"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z903"">3)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z905"">5)</a> ",
"подпунктах 4), 5) и 6) ",118,http://85.202.192.66:9096/rus/docs/K2000000350#z1031,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1031"">подпунктах 4), 5) и 6) части третьей</a>",
подпунктами 1) и 2),123,z1071,"
      1. Применение мер процессуального принуждения, предусмотренных <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1071"">подпунктами 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1072"">2)</a> ",
"подпунктов 3), 5), 9), 11), 12), 13), 14), 15) и 17) ",138,http://85.202.192.66:9096/rus/docs/K2000000350#z1183,"<a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z1183"">подпунктов 3), 5), 9), 11), 12), 13), 14), 15) и 17) части второй</a>",
"
      3. Специализированный межрайонный административный суд столицы рассматривает иски инвесторов, указанных в части 1-2 ",27,z214,"
      3. Специализированный межрайонный административный суд столицы рассматривает иски инвесторов, указанных в <a href=""http://85.202.192.66:9096/rus/docs/K2000000350#z214"">части 1-2</a>",
