original,article,anchor,link,context
части первой,4_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z73"">части первой</a>",Требования части первой настоящего пункта распространяются на коллекторские агентства по ус
части первой,8_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z77"">части первой</a>",Требования части первой настоящего пункта распространяются на коллекторские агентства по ус
статьи 8,8,z8,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z8"">статьи 8</a>","статьи 8 настоящего Закона, арбитражное соглашение должно содержать согласие уполномоченного органа"
пунктом 6 статьи 14,14,z14,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z14"">пунктом 6 статьи 14</a>","6) назначение арбитров (арбитра) из числа лиц, находящихся в реестрах Арбитражной палаты ил"
статьи 13,13,z13,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z13"">статьи 13</a>",1. В случае несоответствия арбитра требованиям статьи 13 настоящего Закона стороны могут за
статьей 13,13,z13,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z13"">статьей 13</a>",3. В случае обращения к какому-либо физическому лицу в связи с его возможным избранием (наз
статье 17,17,z17,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z17"">статье 17</a>","1. Полномочия арбитра могут быть прекращены по соглашению сторон по основаниям, предусмотре"
части первой,18_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z121"">части первой</a>","В случае разногласий относительно какого-либо из оснований, указанных в части первой настоя"
статьями 50 и 51,50,z50,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z50"">статьями 50</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z51"">51</a>",3. Полномочия арбитра прекращаются после вступления в силу решения арбитража по конкретному
пунктами 2 и 3 настоящей статьи,20_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z125"">пунктами 2</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z126"">3</a> настоящей статьи","4. Арбитраж обязан в течение десяти календарных дней рассмотреть заявление, сделанное в соо"
статьей 22,22,z22,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z22"">статьей 22</a>","При этом местом проведения заседания, вынесения решения является место арбитражного разбира"
пункте 6 статьи 20,20,z20,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z20"">пункте 6 статьи 20</a>","1. Стороны во время арбитражного разбирательства в случае, предусмотренном в пункте 6 стать"
пункта 2 статьи 23,23,z23,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z23"">пункта 2 статьи 23</a>",3. Встречный иск должен соответствовать требованиям пункта 2 статьи 23 настоящего Закона.
статьи 45,45,z45,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z45"">статьи 45</a>",2. Арбитражное решение на согласованных условиях должно быть вынесено в соответствии с поло
статьей 22,22,z22,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z22"">статьей 22</a>","2) место арбитражного разбирательства, определенное в соответствии со статьей 22 настоящего"
пункте 2 настоящей статьи,49_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z211"">пункте 2</a> настоящей статьи",1. Арбитражное разбирательство прекращается вынесением определения о прекращении арбитражно
пункта 1 настоящей статьи,50_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z212"">пункта 1</a> настоящей статьи","2. Арбитраж в течение шестидесяти календарных дней, считая с даты вынесения арбитражного ре"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z52"">статьи 52</a>",статьи 52 настоящего Закона РК признан соответствующим
статьей 51,51,z51,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z51"">статьей 51</a>",2. Ходатайство об отмене арбитражного решения не может быть заявлено по истечении одного ме
статье 11,11,z11,"<a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z11"">статье 11</a>","2. Организационные вопросы, связанные с проведением первого учредительного собрания для соз"
подпункте 1),50,z50_1_1,"
      2. Арбитраж в течение шестидесяти календарных дней, считая с даты вынесения арбитражного решения, если иной срок не установлен регламентом или соглашением сторон, может по своей инициативе после надлежащего уведомления сторон исправить любые ошибки, указанные в <a href=""http://85.202.192.66:9096/rus/docs/Z1600000488#z50_1_1"">подпункте 1)</a> ",
