original,article,anchor,link,context
пунктом 2 настоящей статьи,2_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z19"">пунктом 2</a> настоящей статьи","администраторам бюджетных программ, местным исполнительным органам и иным получателям бюдже"
статьи 73,73,z1859,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z1859"">статьи 73</a>",статьи 73 настоящего Кодекса.
статьи 73,73,z1859,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z1859"">статьи 73</a>",статьи 73 настоящего Кодекса;
главой 30,ch30,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z3463"">главой 30</a>","Бюджетными кредитами являются бюджетные средства, предоставляемые в соответствии с главой 3"
частью первой,16_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z309"">частью первой</a>","Запрещается планирование государственного задания, не соответствующего критериям, предусмот"
пункта 2 настоящей статьи,16_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z310"">пункта 2</a> настоящей статьи","3. Планирование государственного задания осуществляется с соблюдением требований, установле"
пункте 1 настоящей статьи,16_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z309"">пункте 1</a> настоящей статьи",В случае передачи государственного задания субъектами квазигосударственного сектора и юриди
пункта 2 настоящей статьи,16_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z310"">пункта 2</a> настоящей статьи","Гражданско-правовые сделки, заключенные в нарушение пункта 2 настоящей статьи, могут быть п"
пункте 1 настоящей статьи,16_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z309"">пункте 1</a> настоящей статьи","9. Субъекты квазигосударственного сектора и юридические лица, указанные в пункте 1 настояще"
пункте 1 настоящей статьи,16_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z309"">пункте 1</a> настоящей статьи",12. Ответственность за выполнение государственного задания возлагается на первых руководите
статьей 17-1,17,z330,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z330"">статьей 17-1</a>",Главу 4 предусматривается дополнить статьей 17-1 в соответствии с Законом от 16.01.2026
"подпунктах 15), 16) и 17) настоящего пункта",23_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z409"">подпунктах 15)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z410"">16)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z411"">17)</a> настоящего пункта","18) авансовые платежи, вносимые в соответствии с таможенным законодательством Евразийского"
главой 13,ch13,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z1713"">главой 13</a>","Виды неналоговых поступлений, поступающих во внебюджетные фонды, определены главой 13 насто"
пункте 1 настоящей статьи,30_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z635"">пункте 1</a> настоящей статьи","2. Из республиканского бюджета также финансируются расходы по направлениям, указанным в пун"
пункте 1 настоящей статьи,31_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z745"">пункте 1</a> настоящей статьи","2. Из бюджетов городов республиканского значения, столицы также финансируются расходы по на"
пункте 1 настоящей статьи,32_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z882"">пункте 1</a> настоящей статьи","2. Из областных бюджетов также финансируются расходы по направлениям, указанным в пункте 1"
пункте 1 настоящей статьи,33_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z989"">пункте 1</a> настоящей статьи",2. Из районного (города областного значения) бюджета также финансируются расходы по направл
пункте 1 настоящей статьи,34_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z1075"">пункте 1</a> настоящей статьи","2. Из бюджета города районного значения, села, поселка, сельского округа также финансируютс"
части первой,36_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z1111"">части первой</a>","Целевые индикаторы, указанные в подпунктах 1), 2) и 3) части первой настоящего пункта, отра"
статьей 43,43,z1356,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z1356"">статьей 43</a>",Заключение центрального уполномоченного органа по государственному планированию формируется
статьи 75,75,z1911,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000171#z1911"">статьи 75</a>",статьи 75 настоящего Кодекса.
