original,article,anchor,link,context
пункта 2 настоящей статьи,12_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z116"">пункта 2</a> настоящей статьи",4. Отнесение объекта к категориям осуществляется в соответствии с требованиями пункта 2 настоящей ст
подпункте 1) настоящего пункта,17_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z166"">подпункте 1)</a> настоящего пункта","2) о факторах, оказывающих и (или) способных оказать воздействие на элементы, указанные в п"
подпункте 1) настоящего пункта,17_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z166"">подпункте 1)</a> настоящего пункта","3) о предпринимаемых государством административных, законодательных, программных и иных мер"
подпунктах 1) и 2) настоящего пункта,17_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z166"">подпунктах 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z167"">2)</a> настоящего пункта","3) о предпринимаемых государством административных, законодательных, программных и иных мер"
подпунктах 1) и 2) настоящего пункта,17_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z166"">подпунктах 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z167"">2)</a> настоящего пункта","4) о деятельности государственных органов, физических и юридических лиц, оказывающей и (или"
подпунктами 3) и 4) настоящего пункта,17_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z168"">подпунктами 3)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z169"">4)</a> настоящего пункта","6) об анализе затрат и выгод, иных видах экономического анализа и допущениях, использованны"
"подпунктах 2), 3) и 4) настоящего пункта",17_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z167"">подпунктах 2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z168"">3)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z169"">4)</a> настоящего пункта","7) о состоянии здоровья людей, экологической безопасности, включая, если применимо, концент"
подпункте 1) настоящего пункта,17_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z166"">подпункте 1)</a> настоящего пункта","7) о состоянии здоровья людей, экологической безопасности, включая, если применимо, концент"
пункту 3 настоящей статьи,20_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z192"">пункту 3</a> настоящей статьи","4. В тех случаях, когда информация, не подлежащая раскрытию согласно пункту 3 настоящей ста"
пунктом 7 настоящей статьи,22_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z238"">пунктом 7</a> настоящей статьи","8. Операторы объектов, указанные в пункте 9 настоящей статьи, обязаны ежегодно до 1 апреля"
пункте 9 настоящей статьи,22_p9,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z247"">пункте 9</a> настоящей статьи","8. Операторы объектов, указанные в пункте 9 настоящей статьи, обязаны ежегодно до 1 апреля"
пунктом 8 настоящей статьи,22_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z245"">пунктом 8</a> настоящей статьи","9. Обязанность по представлению отчетности, установленная пунктом 8 настоящей статьи, распр"
части первой,22_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z223"">части первой</a>",Применимые пороговые значения для количества выбросов и переноса загрязнителей в Республике
статьи 60,60,z686,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z686"">статьи 60</a>",статьи 60 настоящего Кодекса;
части первой,27_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z325"">части первой</a>","Распределение функций и полномочий, предусмотренных подпунктами 4) – 7) части первой настоя"
пункта 3 настоящей статьи,35_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z399"">пункта 3</a> настоящей статьи","4. Решения, действия (бездействие) государственного органа или должностного лица, нарушающи"
статьи 11,11,z100,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z100"">статьи 11</a>",статьи 11 настоящего Кодекса.
пункта 2 статьи 76,76,z979,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z979"">пункта 2 статьи 76</a>",пункта 2 статьи 76 настоящего Кодекса;
пункта 2 статьи 68,68,z787,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z787"">пункта 2 статьи 68</a>",пункта 2 статьи 68 настоящего Кодекса.
статьи 52,52,z576,"<a href=""http://85.202.192.66:9096/rus/docs/K2100000400#z576"">статьи 52</a>","статьи 52 настоящего Кодекса, программ развития территорий и генеральных планов населенных пунктов"
