original,article,anchor,link,context
пунктом 1 настоящей статьи,5_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z73"">пунктом 1</a> настоящей статьи","3. Нормативные правовые акты Республики Казахстан, принимаемые в соответствии с настоящим З"
статьи 16,16,z294,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z294"">статьи 16</a>",статьи 16 настоящего Закона.
статьи 16,16,z294,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z294"">статьи 16</a>",статьи 16 настоящего Закона.
пункта 5 статьи 15,15,z272,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z272"">пункта 5 статьи 15</a>","9. При осуществлении государственных закупок способом конкурса, аукциона единым оператором"
части первой,6_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z85"">части первой</a>","В случае, предусмотренном подпунктом 2) части первой настоящего пункта, перераспределение б"
пункте 10 настоящей статьи,6_p10,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z104"">пункте 10</a> настоящей статьи","11. Заказчик либо организатор в течение пяти рабочих дней со дня принятия решения, указанно"
"подпунктами 1), 25) и 26) пункта 3 статьи 16",16,z294,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z301"">подпунктами 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z339"">25)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z340"">26)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z300"">пункта 3</a> <a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z294"">статьи 16</a>","Данное требование не распространяется на потенциальных поставщиков и поставщиков, определен"
пункта 1 настоящей статьи,7_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z112"">пункта 1</a> настоящей статьи","2. Ограничения, предусмотренные подпунктами 3), 4), 5), 6) и 7) пункта 1 настоящей статьи,"
статьи 16,16,z294,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z294"">статьи 16</a>",статьи 16 и
части первой,8_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z141"">части первой</a>","В случае, указанном в подпункте 1) части первой настоящего пункта, организатор, единый орга"
части первой,8_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z141"">части первой</a>","В случае, указанном в подпункте 3) части первой настоящего пункта, заказчик обязан не поздн"
части первой,8_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z141"">части первой</a>","В случае, указанном в подпункте 4) части первой настоящего пункта, заказчик обязан не поздн"
пункта 4 настоящей статьи,8_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z2400000106#z152"">пункта 4</a> настоящей статьи","5. Реестр недобросовестных участников государственных закупок, предусмотренных подпунктами"
