original,article,anchor,link,context
пункта 2 настоящей статьи,13_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z207"">пункта 2</a> настоящей статьи","пункта 2 настоящей статьи, определяется в следующем порядке:"
части первой,14_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z235"">части первой</a>",части первой настоящего пункта;
части первой,14_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z235"">части первой</a>","части первой настоящего пункта, за исключением независимого директора акционерного общества;"
части первой,16_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z274"">части первой</a>","части первой настоящего пункта, утверждается уполномоченным органом в области развития агропромышле"
части первой,16_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z274"">части первой</a>",Требование части первой настоящего пункта не распространяется на сельскохозяйственные кооператив
Статья 17,17,z17h,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z17h"">Статья 17</a>",Статья 17 действует до 01.01.2029 в соответствии с
части первой,17_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z284"">части первой</a>","части первой настоящего пункта, также учитываются следующие доходы, если они связаны с получением д"
части первой,20_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z319"">части первой</a>","части первой настоящего пункта не применяются в отношении иностранного государства или территории,"
пункта 3 статьи 755,755,z12285,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z12285"">пункта 3 статьи 755</a>","пункта 3 статьи 755 настоящего Кодекса оператор обладает всеми правами и обязанностями, предусмотре"
статьи 56,56,z890,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z890"">статьи 56</a>",статьи 56 настоящего Кодекса;
частью второй,49_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z672"">частью второй</a>","4. Если иное не установлено частью второй настоящего пункта, решение налогового органа обязатель"
части первой,49_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z670"">части первой</a>","части первой настоящего пункта, может не отражаться в решениях налогового органа в форме справки, с"
части первой,52_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z741"">части первой</a>","Форма сведений, указанных в части первой настоящего пункта, и порядок их представления устанавли"
пункта 1 статьи 679,679,z11008,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z11008"">пункта 1 статьи 679</a>",пункта 1 статьи 679 настоящего Кодекса;
частью первой,53_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z760"">частью первой</a>","Информации и сведения, предусмотренные частью первой настоящего пункта, предоставляются в порядк"
частью первой,54_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z775"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, устанавливается уполномоченным"
частью первой,54_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z775"">частью первой</a>","Формы сведений, предусмотренных частью первой настоящего пункта, порядок и сроки их представлени"
пункта 1 статьи 417,417,z7136,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z7136"">пункта 1 статьи 417</a>",пункта 1 статьи 417 настоящего Кодекса;
пункта 1 статьи 417,417,z7136,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z7136"">пункта 1 статьи 417</a>",пункта 1 статьи 417 настоящего Кодекса.
пункта 2 настоящей статьи,55_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z799"">пункта 2</a> настоящей статьи","пункта 2 настоящей статьи, представляются посредством сети телекоммуникаций."
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Перечень и формы сведений, предусмотренных частью первой настоящего пункта, и порядок их предста"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, устанавливается уполномоченным"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, и порядок их представления уста"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, и порядок их представления уста"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, и порядок их представления уста"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, порядок и сроки их представлени"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, устанавливается уполномоченным"
части первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">части первой</a>","части первой настоящего пункта, включаются в базу данных о лицах и структурных подразделениях юриди"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Формы уведомления и сведений, предусмотренных частью первой настоящего пункта, порядок и сроки и"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, устанавливается уполномоченным"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, и порядок их представления уста"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Перечень и форма сведений, предусмотренных частью первой настоящего пункта, устанавливаются упол"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Формы запроса и сведений, предусмотренных частью первой настоящего пункта, устанавливаются уполн"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, и порядок их представления уста"
части первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">части первой</a>","Лицо, сообщившее о факте нарушения, указанного в части первой настоящего пункта, при его подтвер"
части второй,56_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z897"">части второй</a>","Положения части второй настоящего пункта не распространяются на лицо, сообщившее заведомо ложную"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Правила взаимодействия и форма сведений, предусмотренных частью первой настоящего пункта, устана"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Формы сведений, предусмотренных частью первой настоящего пункта, и порядок представления таких с"
части первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">части первой</a>","Положение части первой настоящего пункта не распространяется на сведения, представляемые в креди"
частью первой,56_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z891"">частью первой</a>","Форма сведений, предусмотренных частью первой настоящего пункта, устанавливается уполномоченным"
пункта 2 статьи 129,129,z2166,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z2166"">пункта 2 статьи 129</a>",пункта 2 статьи 129 настоящего Кодекса по налоговому обязательству и требованию о возврате суммы пр
пункта 2 статьи 129,129,z2166,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z2166"">пункта 2 статьи 129</a>","пункта 2 статьи 129 настоящего Кодекса, по налоговому обязательству и требованию о возврате суммы п"
статьи 122,122,z2051,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z2051"">статьи 122</a>",статьи 122 настоящего Кодекса.
статьи 66,66,z1069,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z1069"">статьи 66</a>",статьи 66 настоящего Кодекса исполнение налоговых обязательств по корпоративному и индивидуальному
статьи 357,357,z6247,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z6247"">статьи 357</a>",статьи 357 настоящего Кодекса;
пункта 1 статьи 682,682,z11154,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z11154"">пункта 1 статьи 682</a>","части первой пункта 1 статьи 682 настоящего Кодекса, по деятельности по доверительному управлению и"
пункта 2 настоящей статьи,74_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z1191"">пункта 2</a> настоящей статьи","3. Уплата налогов, платежей в бюджет и социальных платежей, отраженных в очередной налоговой отч"
части первой,74_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z1182"">части первой</a>","Сведения о таком налогоплательщике в течение трех рабочих дней, следующих за днем представления"
статьи 74,74,z1181,"<a href=""http://85.202.192.66:9096/rus/docs/K2500000214#z1181"">статьи 74</a>","статьи 74 настоящего Кодекса, возникает в течение трех рабочих дней со дня утверждения промежуточно"
