original,article,anchor,link,context
Статья 22,22,z22h,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z22h"">Статья 22</a>",Статья 22 вводится в действие после введения в действие законодательного акта о саморегулирова
подпункте 1) настоящего пункта,38_3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z38_3_1"">подпункте 1)</a> настоящего пункта","2) семейного предпринимательства и простого товарищества, если в результате наступления обс"
Статья 62,62,z62h,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z62h"">Статья 62</a>",Статья 62 вводится в действие после введения в действие законодательного акта о саморегулирова
статьей 79-3,79,z79,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z79"">статьей 79-3</a>",Социальным предпринимательством является предпринимательская деятельность субъектов социаль
статьей 79-3,79,z79,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z79"">статьей 79-3</a>","1) обеспечение участия субъектов предпринимательства в решении социальных проблем, в том чи"
статье 79-3,79,z79,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z79"">статье 79-3</a>","2) содействие в обеспечении занятости социально уязвимых слоев населения, указанных в стать"
статье 79-3,79,z79,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z79"">статье 79-3</a>","3) продвижение на рынок производимых товаров, выполняемых работ, оказываемых услуг субъекта"
статье 79-3,79,z79,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z79"">статье 79-3</a>","по оказанию социально уязвимым слоям населения, указанным в статье 79-3 настоящего Кодекса,"
статьей 79-3,79,z79,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z79"">статьей 79-3</a>",Указанные сведения ежегодно актуализируются уполномоченным органом по предпринимательству п
статьей 79-3,79,z79,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z79"">статьей 79-3</a>","При соответствии индивидуального предпринимателя или юридического лица условиям, предусмотр"
пункте 1 настоящей статьи,81-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2305"">пункте 1</a> настоящей статьи","2. Условия, указанные в пункте 1 настоящей статьи, имеют следующие определения:"
частью первой,83_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z1417"">частью первой</a>","В случае, предусмотренном частью первой настоящего пункта, государственные органы должны пр"
пунктом 2 статьи 80,80,z80,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z80"">пунктом 2 статьи 80</a>",4. Анализ регуляторного воздействия проводится государственными органами в отношении проект
части третьей,83-1_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2487"">части третьей</a>","Положения части третьей настоящего пункта не распространяются на регуляторные акты, по кото"
статье 81-1,81,z81,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z81"">статье 81-1</a>",Регулирующий государственный орган в целях недопущения привлечения предпринимателей к ответ
части второй,83-1_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z2484"">части второй</a>","В случае нарушения сроков, предусмотренных подпунктами 1) и 2) части второй настоящего пунк"
статьей 85-2,85,z85,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z85"">статьей 85-2</a>",2. Государственный контроль в области защиты субъектов предпринимательства осуществляется в
части четвертой,85-2_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3022"">части четвертой</a>","При наступлении случаев, указанных в части четвертой настоящего пункта, проверка может быть"
пунктом 22 настоящей статьи,85-2_p22,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3113"">пунктом 22</a> настоящей статьи","11) права и обязанности проверяемого государственного органа, предусмотренные пунктом 22 на"
пункта 8 настоящей статьи,85-2_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3037"">пункта 8</a> настоящей статьи",В случаях непредоставления или неполного предоставления проверяемым государственным органом
пункта 21 настоящей статьи,85-2_p21,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z3096"">пункта 21</a> настоящей статьи","отсутствия документов, предусмотренных частью третьей пункта 21 настоящей статьи;"
пунктом 1 статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">пунктом 1 статьи 143</a>","2) утверждение в пределах своей компетенции нормативных правовых актов, предусмотренных пун"
пунктом 2 статьи 132,132,z132,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z132"">пунктом 2 статьи 132</a>","1. Органами контроля и надзора являются государственные органы, их ведомства и территориаль"
пунктом 1 статьи 143,143,z143,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z143"">пунктом 1 статьи 143</a>","2) разработка в пределах своей компетенции нормативных правовых актов, предусмотренных пунк"
статьей 93-1,93,z93,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z93"">статьей 93-1</a>",Главу 8 предусматривается дополнить статьей 93-1 в соответствии с Законом РК от 09.01.2026
статьей 83,83,z83,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z83"">статьей 83</a>",2. Уровни опасности деятельности или действий (операций) устанавливаются на основании анали
части первой,109_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z599"">части первой</a>","При этом выдача разрешений или мотивированных отказов в их выдаче по заявлениям, поданным в"
частью второй,109_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z600"">частью второй</a>","При этом выдача разрешений или мотивированных отказов в их выдаче по заявлениям, поданным в"
пунктом 4 настоящей статьи,109_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z602"">пунктом 4</a> настоящей статьи","5. Заявители, подавшие заявление на получение разрешения в соответствии с пунктом 4 настоящ"
статьи 324,324,z324,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z324"">статьи 324</a>",статьи 324 Кодекса РК от 29.10.2015 № 375-V.
статьи 324,324,z324,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z324"">статьи 324</a>",статьи 324 Кодекса РК от 29.10.2015 № 375-V.
статьи 119,119,z119h,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z119h"">статьи 119</a>",Порядок введения в действие статьи 119 см.
статьи 324,324,z324,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z324"">статьи 324</a>",статьи 324 Кодекса РК от 29.10.2015 № 375-V.
Статью 124-6,124,z124,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000375#z124"">Статью 124-6</a>",Статью 124-6 предусматривается дополнить подпунктом 3-1) в соответствии с Законом РК от 09.01.
