original,article,anchor,link,context
пункте 8) части первой статьи 243,243,z3103,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z3103"">пункте 8) части первой статьи 243</a>","пункта 2 статьи 102 настоящего Кодекса, уплачивающий социальные отчисления за лиц, указанных в подп"
пункта 2 статьи 102,102,z1517,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1517"">пункта 2 статьи 102</a>","пункта 2 статьи 102 настоящего Кодекса, уплачивающий социальные отчисления за лиц, указанных в подп"
пунктом 1 статьи 207,207,z2649,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z2649"">пунктом 1 статьи 207</a>",43) трудоспособное лицо (трудоспособный член семьи) – лицо или член семьи в возрасте с восе
пунктом 1 статьи 207,207,z2649,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z2649"">пунктом 1 статьи 207</a>","104) государственная базовая пенсионная выплата – ежемесячная денежная выплата, предоставля"
пункта 2 статьи 102,102,z1517,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1517"">пункта 2 статьи 102</a>",пункта 2 статьи 102 настоящего Кодекса.
пункта 2 статьи 102,102,z1517,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1517"">пункта 2 статьи 102</a>","пункта 2 статьи 102 настоящего Кодекса, в Фонд, фонд социального медицинского страхования, единый н"
статьей 30,30,z590,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z590"">статьей 30</a>","5) переданы в доверительное управление, за исключением случаев, предусмотренных статьей 30"
статьей 55,55,z905,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z905"">статьей 55</a>","5) без взимания платы предоставлять физическому лицу, на имя которого открыт индивидуальный"
пункта 5 статьи 262,262,z3323,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z3323"">пункта 5 статьи 262</a>",о состоянии пенсионных накоплений по его запросу на любую запрашиваемую дату с даты открыти
пункта 2 настоящей статьи,35_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z644"">пункта 2</a> настоящей статьи","10) привлечение для исполнения обязанностей, указанных в подпункте 12) пункта 2 настоящей с"
подпунктом 10) пункта 2 статьи 35,35,z634,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z658"">подпунктом 10)</a> <a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z644"">пункта 2</a> <a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z634"">статьи 35</a>",2. Единый накопительный пенсионный фонд заключает договор о доверительном управлении пенсио
пункте 11 настоящей статьи,37_p11,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z728"">пункте 11</a> настоящей статьи",Договор о доверительном управлении пенсионными активами вступает в силу с даты поступления
пункта 5 настоящей статьи,37_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z708"">пункта 5</a> настоящей статьи",6. Единый накопительный пенсионный фонд осуществляет передачу пенсионных активов в доверите
пункта 5 настоящей статьи,37_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z708"">пункта 5</a> настоящей статьи",6. Единый накопительный пенсионный фонд осуществляет передачу пенсионных активов в доверите
пункта 5 настоящей статьи,37_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z708"">пункта 5</a> настоящей статьи","В случаях невыполнения условий, указанных в части первой настоящего пункта, и (или) предста"
части первой,37_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z703"">части первой</a>","В случаях невыполнения условий, указанных в части первой настоящего пункта, и (или) предста"
пунктом 7) статьи 15,15,z316,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z316"">пунктом 7) статьи 15</a>","2) в случае несоответствия управляющего инвестиционным портфелем требованиям, установленным"
статьи 262,262,z3323,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z3323"">статьи 262</a>","статьи 262 настоящего Кодекса, а также изменить способ получения информации о состоянии пенсионных"
пункта 5 статьи 37,37,z702,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z702"">пункта 5 статьи 37</a>","пункта 5 статьи 37 настоящего Кодекса, в порядке, определенном нормативным правовым актом уполномоч"
статьи 222,222,z2823,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z2823"">статьи 222</a>","статьи 222 настоящего Кодекса, средства, учитываемые на условном пенсионном счете, направляются в р"
статьи 57,57,z943,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z943"">статьи 57</a>",статьи 57 настоящего Кодекса.
статьи 256,256,z3263,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z3263"">статьи 256</a>",статьи 256 настоящего Кодекса;
статьей 55,55,z905,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z905"">статьей 55</a>",3) предоставлять вкладчику (получателю) информацию о состоянии его пенсионных накоплений в
статьи 36,36,z692,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z692"">статьи 36</a>",статьи 36 и
статьи 51,51,z872,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z872"">статьи 51</a>","статьи 51,"
пунктами 3 и 4 настоящей статьи,55_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z911"">пунктами 3</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z912"">4</a> настоящей статьи","2. Должностные лица, работники единого накопительного пенсионного фонда, добровольных накоп"
пунктами 3 и 4 настоящей статьи,56_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z932"">пунктами 3</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z933"">4</a> настоящей статьи","2. Должностные лица, работники единого накопительного пенсионного фонда, Государственной ко"
статьей 9-4,9,z198,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z198"">статьей 9-4</a>","2. Требования к руководящим работникам единого накопительного пенсионного фонда, добровольн"
пунктом 1 настоящей статьи,65_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1105"">пунктом 1</a> настоящей статьи","2. Социальный работник, осуществляющий оценку и определение потребности в специальных социа"
частью первой,77_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1232"">частью первой</a>","Жителям города Байконыра, являющимся участниками системы обязательного социального страхова"
статьях 101-1,101,z1505,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1505"">статьях 101-1</a>","Для лиц, указанных в статьях 101-1 и"
пунктом 1 статьи 244,244,z3113,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z3113"">пунктом 1 статьи 244</a>","настоящего Кодекса, при исчислении социальных выплат по случаю потери дохода в связи с беременность"
"подпунктах 2), 3), 4) и 5) настоящего пункта",83_3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1295"">подпунктах 2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1296"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1297"">4)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1298"">5)</a> настоящего пункта","Выплата пособия по уходу прекращается с даты наступления обстоятельств, указанных в подпунк"
статьях 101-1,101,z1505,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1505"">статьях 101-1</a>","Для лиц, указанных в статьях 101-1 и"
статьи 244,244,z3113,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z3113"">статьи 244</a>",статьи 244 настоящего Кодекса.
статьей 76,76,z1226,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1226"">статьей 76</a>",2. Размер ежемесячной социальной выплаты по уходу не может быть менее размера пособия по ух
статьей 82,82,z1276,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1276"">статьей 82</a>",2. Размер ежемесячной социальной выплаты по уходу не может быть менее размера пособия по ух
пункта 3 статьи 248,248,z3162,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z3162"">пункта 3 статьи 248</a>",пункта 3 статьи 248 настоящего Кодекса.
статьи 207,207,z2649,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z2649"">статьи 207</a>",статьи 207 настоящего Кодекса.
статьей 86,86,z1326,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1326"">статьей 86</a>","При этом бюджетные субсидии приостанавливаются, возобновляются и прекращаются одновременно"
пункта 3 настоящей статьи,92_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1398"">пункта 3</a> настоящей статьи","4. Выплата пособия многодетной семье прекращается с даты наступления обстоятельств, указанн"
пункте 3 настоящей статьи,92_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1398"">пункте 3</a> настоящей статьи","4. Выплата пособия многодетной семье прекращается с даты наступления обстоятельств, указанн"
пункта 3 настоящей статьи,95_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1427"">пункта 3</a> настоящей статьи","4. Выплата пособия награжденной матери прекращается с даты наступления обстоятельств, указа"
статьи 207,207,z2649,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z2649"">статьи 207</a>",статьи 207 настоящего Кодекса;
пункта 4 настоящей статьи,99_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1474"">пункта 4</a> настоящей статьи","5. Прекращение обязанности по трудоустройству, предусмотренной подпунктом 1) пункта 4 насто"
пункта 4 статьи 99,99,z1464,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1464"">пункта 4 статьи 99</a>",пункта 4 статьи 99 настоящего Кодекса;
пункта 1 настоящей статьи,100_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1494"">пункта 1</a> настоящей статьи","2. Безработные, снятые с учета в соответствии с подпунктами 1) – 4) пункта 1 настоящей стат"
пунктом 1 настоящей статьи,107_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1601"">пунктом 1</a> настоящей статьи","4. При установлении квот, предусмотренных пунктом 1 настоящей статьи, в списочной численнос"
пункте 1 настоящей статьи,111_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1632"">пункте 1</a> настоящей статьи","6. Направление на субсидируемые рабочие места допускается только с согласия лиц, указанных"
пункте 1 настоящей статьи,111_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1632"">пункте 1</a> настоящей статьи","Если лицо, указанное в пункте 1 настоящей статьи, не достигло восемнадцатилетнего возраста,"
статьи 207,207,z2649,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z2649"">статьи 207</a>","статьи 207 настоящего Кодекса, продолжительностью:"
статьях 101-1,101,z1505,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z1505"">статьях 101-1</a>","Для лиц, указанных в статьях 101-1 и"
статьи 244,244,z3113,"<a href=""http://85.202.192.66:9096/rus/docs/K2300000224#z3113"">статьи 244</a>",статьи 244 настоящего Кодекса.
