original,article,anchor,link,context
статьей 99,99,z99,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z99"">статьей 99</a>","статьи 28, а также сведения о предоставлении отпусков, предусмотренных статьей 99 настоящего Кодекс"
статьи 28,28,z28,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z28"">статьи 28</a>","статьи 28, а также сведения о предоставлении отпусков, предусмотренных статьей 99 настоящего Кодекс"
статьей 23-1,23,z23,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z23"">статьей 23-1</a>",30) заключить договор предпенсионного аннуитетного страхования в соответствии со статьей 23-1
пункта 2 статьи 26,26,z26,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z26"">пункта 2 статьи 26</a>",пункта 2 статьи 26 настоящего Трудового кодекса РК признан соответствующим
"подпунктами 3), 4), 5) и 6) настоящего пункта",30_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z30_1_3"">подпунктами 3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z30_1_4"">4)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z30_1_5"">5)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z30_1_6"">6)</a> настоящего пункта","2) на определенный срок не менее одного года, кроме случаев, установленных подпунктами 3), 4), 5"
пунктом 2 статьи 51,51,z51,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z51"">пунктом 2 статьи 51</a>","В случае истечения срока действия трудового договора, если ни одна из сторон в течение последнег"
подпунктом 2) настоящего пункта,31_2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z31_2_2"">подпунктом 2)</a> настоящего пункта","3) с лицами, не достигшими четырнадцатилетнего возраста, в организациях кинематографии, театрах,"
пунктом 2 настоящей статьи,31_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z375"">пунктом 2</a> настоящей статьи","3. В случаях, определенных пунктом 2 настоящей статьи, наряду с несовершеннолетним трудовой дого"
статьи 58,58,z58,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z58"">статьи 58</a>",статьи 58 настоящего Кодекса.
части третьей,40_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z1030"">части третьей</a>","Для целей настоящей статьи под принимающей стороной понимаются юридические лица, указанные в час"
статьи 58,58,z58,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z58"">статьи 58</a>",статьи 58 настоящего Кодекса.
статьи 58,58,z58,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z58"">статьи 58</a>",статьи 58 настоящего Кодекса.
пункте 1 настоящей статьи,46_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z412"">пункте 1</a> настоящей статьи","В случае, если обстоятельства, указанные в пункте 1 настоящей статьи, могут повлечь сокращение ч"
подпункта 2) пункта 1-1 статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52_1-1_2"">подпункта 2)</a> <a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">пункта 1-1</a> <a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>",Конституционным Судом РК начато производство по проверке конституционности подпункта 2) пункта 1-1
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, обязан уведомить работника о расторжении трудового договора не менее"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, без наличия положительного решения комиссии, созданной из равного чис"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, работодатель обязан уведомить работников о расторжении трудового дого"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, должно основываться на решении аттестационной комиссии, в составе кот"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, должно основываться на решении экзаменационной комиссии, создаваемой"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, несоответствие работника занимаемой должности или выполняемой работе"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, производится с соблюдением порядка применения дисциплинарного взыскан"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, должно быть подтверждено медицинским заключением."
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, должно быть подтверждено актом об отказе работника от прохождения мед"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, должно подтверждаться актом внутреннего расследования с указанием в н"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, допускается после предъявления работником листа о временной нетрудосп"
статьи 52,52,z52,"<a href=""http://85.202.192.66:9096/rus/docs/K1500000414#z52"">статьи 52</a>","статьи 52 настоящего Кодекса, допускается по достижении работником пенсионного возраста, установлен"
