original,article,anchor,link,context
Статью 7,7,z22,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z22"">Статью 7</a>",Статью 7 предусматривается дополнить пунктом 33-1) в соответствии с Законом РК от 16.07.2025
статьи 56,56,z5462,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z5462"">статьи 56</a>",статьи 56 настоящего Уголовно-процессуального кодекса РК при их применении для осуществления процед
статьи 64,64,z509,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z509"">статьи 64</a>",части девятой статьи 64 настоящего Уголовно-процессуального кодекса РК признан соответствующим
статьи 80,80,z804,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z804"">статьи 80</a>",статьи 80 настоящего Уголовно-процессуального кодекса РК признана соответствующей
статьи 94,94,z953,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z953"">статьи 94</a>",части первой статьи 94 настоящего Уголовно-процессуального кодекса РК признан соответствующим
статьи 107,107,z1038,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1038"">статьи 107</a>",статьи 107 настоящего Уголовно-процессуального кодекса РК признана соответствующей
статьи 127,127,z1197,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1197"">статьи 127</a>",статьи 127 Уголовно-процессуального кодекса РК признана соответствующей
статьи 127,127,z1197,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1197"">статьи 127</a>",статьи 127 настоящего Уголовно-процессуального кодекса РК признана соответствующей
статьи 136,136,z1246,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1246"">статьи 136</a>",Конституционным Судом РК начато производство по проверке конституционности части первой статьи
статьи 140,140,z1268,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1268"">статьи 140</a>",Конституционным Судом РК начато производство по проверке конституционности части четвертой ста
статьи 152,152,z1379,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1379"">статьи 152</a>",статьи 152 настоящего Уголовно-процессуального кодекса РК признана соответствующей
статьи 153,153,z1393,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1393"">статьи 153</a>",Конституционным Судом РК начато производство по проверке конституционности части первой статьи
статьи 217,217,z1873,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1873"">статьи 217</a>",статьи 217 настоящего Уголовно-процессуального кодекса РК признана соответствующей
статьи 232,232,z1997,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z1997"">статьи 232</a>",Конституционным Судом РК начато производство по проверке конституционности части восьмой стать
Статью 301,301,z2446,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z2446"">Статью 301</a>",Статью 301 предусматривается дополнить пунктом 8-2) в соответствии с Законом РК от 16.07.2025
статьи 319,319,z2547,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z2547"">статьи 319</a>","статьи 319 настоящего Уголовно-процессуального кодекса РК в части слов "", продлить срок применения"
статьи 340,340,z2648,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z2648"">статьи 340</a>",статьи 340 настоящего Уголовно-процессуального кодекса РК признана соответствующей
статьи 342,342,z2660,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z2660"">статьи 342</a>",Конституционным Судом РК начато производство по проверке конституционности части первой статьи
статьи 342,342,z2660,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z2660"">статьи 342</a>",Конституционным Судом РК начато производство по проверке конституционности части второй статьи
статьи 342,342,z2660,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z2660"">статьи 342</a>",Конституционным Судом РК начато производство по проверке конституционности части третьей стать
статьи 342,342,z2660,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z2660"">статьи 342</a>",Конституционным Судом РК начато производство по проверке конституционности части четвертой ста
статьи 484,484,z3440,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z3440"">статьи 484</a>",части второй статьи 484 настоящего Уголовно-процессуального кодекса РК признан соответствующим
статьи 645,645,z4470,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z4470"">статьи 645</a>",статьи 645 настоящего Уголовно-процессуального кодекса РК признана соответствующей
статьи 645,645,z4470,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z4470"">статьи 645</a>",статьи 645 настоящего Уголовно-процессуального кодекса РК признана соответствующей
статьи 645,645,z4470,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000231#z4470"">статьи 645</a>",статьи 645 настоящего Уголовно-процессуального кодекса РК признана соответствующей
