original,article,anchor,link,context
пункте 1 настоящей статьи,1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z419"">пункте 1</a> настоящей статьи","2. Земли, указанные в пункте 1 настоящей статьи, используются в соответствии с установленны"
статье 1,1,z3,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z3"">статье 1</a>","Отнесение земель к категориям, указанным в статье 1 настоящего Кодекса, а также перевод зем"
пунктом 2 статьи 50,50,z57,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z57"">пунктом 2 статьи 50</a>","2) гражданам Республики Казахстан для ведения личного подсобного хозяйства, садоводства, ин"
части первой,9_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z358"">части первой</a>",Местный исполнительный орган при изменении целевого назначения земельного участка в исключи
пункте 4-1 настоящей статьи,10_p4-1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z470"">пункте 4-1</a> настоящей статьи","4. По земельным участкам, расположенным за пределами черты населенных пунктов, предоставлен"
подпунктом 3) пункта 4 статьи 11,11,z13,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z503"">подпунктом 3)</a> <a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z13"">пункта 4</a> <a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z13"">статьи 11</a>","5. При определении кадастровой (оценочной) стоимости земельных участков, указанных в пункта"
пунктах 3 и 4 настоящей статьи,10_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z468"">пунктах 3</a> и <a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z469"">4</a> настоящей статьи","5. При определении кадастровой (оценочной) стоимости земельных участков, указанных в пункта"
пунктом 1 статьи 10,10,z12,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z12"">пунктом 1 статьи 10</a>",Общий размер повышения или понижения кадастровой (оценочной) стоимости земельного участка д
пункта 1 статьи 148,148,z170,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z170"">пункта 1 статьи 148</a>",пункта 1 статьи 148 настоящего Кодекса;
статьей 44-2,44,z51,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z51"">статьей 44-2</a>",1) подготовка предложений и проектов решений местного исполнительного органа области по пре
статьей 71,71,z80,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z80"">статьей 71</a>",2) подготовка предложений по выдаче разрешений местным исполнительным органом города респуб
подпунктом 2-2) настоящего пункта,14-1_3,?,подпунктом 2-2) настоящего пункта,2) подготовка предложений и проектов решений местного исполнительного органа города областн
статьи 33,33,z39,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z39"">статьи 33</a>",статьи 33 настоящего Кодекса;
статьи 71,71,z80,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z80"">статьи 71</a>",статьи 71 настоящего Кодекса;
статьи 13,13,z16,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z16"">статьи 13</a>",статьи 13 настоящего Кодекса;
статьи 120,120,z135,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z135"">статьи 120</a>","статьи 120 настоящего Кодекса, материалов по вопросам предоставления и изъятия земельных участков д"
статьей 13,13,z16,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z16"">статьей 13</a>","1) предоставление земельных участков в частную собственность и землепользование, за исключе"
статьи 120,120,z135,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z135"">статьи 120</a>","статьи 120 настоящего Кодекса, материалов по вопросам предоставления и изъятия земельных участков д"
18,18,z21,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z21"">18</a>",", 18 и"
"статьями 13, 16 и 18",13,z16,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z16"">статьями 13</a>, <a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z19"">16</a> и <a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z21"">18</a>","2) изъятие земельных участков, в том числе для государственных нужд, за исключением случаев"
пункту 2 статьи 71,71,z80,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z80"">пункту 2 статьи 71</a>",5) выдача разрешений на использование земельного участка для изыскательских работ согласно
статьями 13 и 16,13,z16,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z16"">статьями 13</a> и <a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z19"">16</a>","2) изъятие земельных участков, в том числе для государственных нужд, за исключением случаев"
пункту 2 статьи 71,71,z80,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z80"">пункту 2 статьи 71</a>",5) выдача разрешений на использование земельного участка для изыскательских работ согласно
статьями 13 и 16,13,z16,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z16"">статьями 13</a> и <a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z19"">16</a>","1) предоставление земельных участков в частную собственность и землепользование, за исключе"
пункте 3 настоящей статьи,23_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z679"">пункте 3</a> настоящей статьи","4. В частной собственности иностранцев, лиц без гражданства и иностранных юридических лиц ("
статьи 66,66,z74,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z74"">статьи 66</a>",При заключении брака (супружества) гражданами Республики Казахстан с иностранцами или лицам
статьи 66,66,z74,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z74"">статьи 66</a>","При вхождении в состав участников (акционеров, членов) юридического лица Республики Казахст"
статьями 10 и 11,10,z12,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z12"">статьями 10</a> и <a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z13"">11</a>","1) приобрести право частной собственности на земельный участок по цене, равной кадастровой"
подпунктом 1) пункта 2 настоящей статьи,24_s2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z687"">подпунктом 1)</a> пункта 2 настоящей статьи",подпунктом 1) пункта 2 настоящей статьи имеет право на совершение любых видов сделок с земе
подпунктом 2) пункта 2 настоящей статьи,24_s2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z688"">подпунктом 2)</a> пункта 2 настоящей статьи",подпунктом 2) пункта 2 настоящей статьи имеет право на совершение любых видов сделок с земе
статьи 128,128,z145,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z145"">статьи 128</a>",статьи 128 настоящего Кодекса;
статьи 133,133,z151,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z151"">статьи 133</a>",статьи 133 настоящего Кодекса;
части первой,26_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z703"">части первой</a>","Земельные участки, зарезервированные в установленном порядке для целей, перечисленных в час"
части третьей,32_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z753"">части третьей</a>","Наличие лицензии на добычу твердых полезных ископаемых, на использование пространства недр"
статьи 50,50,z57,"<a href=""http://85.202.192.66:9096/rus/docs/K030000442_#z57"">статьи 50</a>",статьи 50 настоящего Кодекса.
