original,article,anchor,link,context
статьи 101-1,101-1,z637,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z637"">статьи 101-1</a>",или 5 статьи 101-1 и
статьи 101-9,101-9,z689,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z689"">статьи 101-9</a>","и 4 статьи 101-9 настоящего Закона, а также жилищные выплаты единовременного характера, выплаченные"
4,4,z5,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z5"">4</a>","и 4 статьи 101-9 настоящего Закона, а также жилищные выплаты единовременного характера, выплаченные"
пунктом 3 статьи 101-1,101-1,z637,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z637"">пунктом 3 статьи 101-1</a>","Под денежной компенсацией понимается выплата единовременного характера, предусмотренная пун"
статьи 10-6,10-6,z10-6h,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z10-6h"">статьи 10-6</a>",В заголовок статьи 10-6 предусматривается изменение Законом РК от 09.01.2026
подпунктами 2) и 3) пункта 1 статьи 10-8,10-8,z1455,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1458"">подпунктами 2)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1459"">3)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1456"">пункта 1</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1455"">статьи 10-8</a>","3) реализацию мер государственной поддержки, направленных на улучшение жилищных условий, пр"
пункта 1 настоящей статьи,10-8_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1456"">пункта 1</a> настоящей статьи","2. Меры государственной поддержки, направленные на улучшение жилищных условий, предусмотрен"
пункте 1 настоящей статьи,10-9_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1832"">пункте 1</a> настоящей статьи","Должностные лица жилищной инспекции, осуществляющие государственный контроль и надзор, указ"
статьей 101-10,101-10,z815,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z815"">статьей 101-10</a>","Круг членов семьи сотрудника правоохранительного, специального государственного органа, орг"
статьи 109,109,z128,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z128"">статьи 109</a>",4. Служебные жилища из государственного жилищного фонда могут быть приватизированы по основ
статьи 101,101,z1818,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z1818"">статьи 101</a>","5. Жилища, приравненные к служебным, из государственного жилищного фонда могут быть привати"
части первой,21_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z324"">части первой</a>","Родители супруга (супруги), а также семьи детей, указанных в части первой настоящего пункта"
подпунктами 2) и 4) пункта 1 настоящей статьи,29_s1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_1_2"">подпунктами 2)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_1_4"">4)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_p1"">пункта 1</a> настоящей статьи","2. При принудительном прекращении права собственности на жилище по основаниям, предусмотрен"
подпунктами 1) и 3) пункта 1 настоящей статьи,29_s1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_1_1"">подпунктами 1)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_1_3"">3)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_p1"">пункта 1</a> настоящей статьи","3. При прекращении права собственности на жилище по основаниям, предусмотренным подпунктами"
подпунктом 1) пункта 1 настоящей статьи,29_s1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_1_1"">подпунктом 1)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_p1"">пункта 1</a> настоящей статьи",3-1. При принудительном прекращении права собственности на единственное жилище на территори
подпунктом 5) пункта 1 настоящей статьи,29_s1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z911"">подпунктом 5)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_p1"">пункта 1</a> настоящей статьи","4. При принудительном прекращении права собственности на жилище по основанию, предусмотренн"
"подпунктами 2), 4) и 5) пункта 1 статьи 29",29,z35,"<a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_1_2"">подпунктами 2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_1_4"">4)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z911"">5)</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z29_p1"">пункта 1</a> <a href=""http://85.202.192.66:9096/rus/docs/Z970000094_#z35"">статьи 29</a>","1. При прекращении права собственности на жилище по основаниям, предусмотренным подпунктами"
