Уголовный кодекс Республики Казахстан
1 | Статья 116 | установить во всех указанных статьях ссылки, после перехода на статьи выделить цветом (предусмотренные статьями 116, 125 (пунктом 2) части третьей), 126 (пунктом 2) части третьей), 128, 134, 135, 308 и 309 настоящего Кодекса)
2 | Статья 108 | убрать ссылку в сносках
3 | Статья 108-1 | принято, дополнить после перехода выделить другим цветом
Статья 125-1 | принято, дополнить после перехода выделить другим цветом
статья 188-1 | принято, дополнить после перехода выделить другим цветом
статья 188-1 | дополнить и установить ссылку в пункте 3 статьи 3 - особо крупный ущерб и особо крупный размер – в статьях: 188, 188-1…
статья 188-1 | дополнить и установить ссылку в пункте 38 статьи 3 - крупный ущерб и крупный размер –  185, 186 и 458 – ущерб на сумму, в пятьсот раз превышающую месячный расчетный показатель; 188, 188-1…
статья 188-1 | дополнить и установить ссылку в пункте 2 статьи 15
статья 47 | убрать ссылку в сносках
статья 346 | принято, дополнить после перехода выделить другим цветом
статья 345-1 | принято, дополнить после перехода выделить другим цветом
статья 46 | принято, дополнить после перехода выделить другим цветом
статья 67 | убрать ссылку в сносках
статья 69 | убрать ссылку в сносках
статья 72 | принято, дополнить после перехода выделить другим цветом
статья 74 | убрать ссылку в сносках
статья 75 | убрать ссылку в сносках
статья 91 | принято, дополнить после перехода выделить другим цветом
статья 98-2 | принято, дополнить после перехода выделить другим цветом
статья 109-1 | принято, дополнить после перехода выделить другим цветом
статья 109-1 | дополнить и установить ссылку в подпункте 9 пункта 4 статьи 68 - уголовное правонарушение, предусмотренное статьями 108-1 и 109-1 настоящего Кодекса, в течение срока давности….
статья 109-1 | дополнить и установить ссылку в подпункте 1-1 пункта 1 статьи 467 - приостановить до 1 января 2027 года действие статьи 45 настоящего Кодекса, установив, что ее положения применяются в отношении лиц, совершивших уголовное правонарушение, предусмотренное статьями 108-1 и 109-1 настоящего Кодекса….
статья 109 | убрать ссылку в сносках
статья 124 | убрать ссылку в сносках
статья 130 | убрать ссылку в сносках
статья 134 | убрать ссылку в сносках
статья 134 | дополнить и установить ссылку в пункте 1-1 статьи 3 преступления, связанные с торговлей людьми, – деяния, предусмотренные статьями 116, 125 (пунктом 2) части третьей), 126 (пунктом 2) части третьей), 128, 134…
статья 128 | дополнить и установить ссылку в пункте 1-1 статьи 3 преступления, связанные с торговлей людьми, – деяния, предусмотренные статьями 116, 125 (пунктом 2) части третьей), 126 (пунктом 2) части третьей), 128, 134…
статья 128 | убрать ссылку в примечании
статья 144 | убрать ссылку в сносках
статья 155 | убрать ссылку в сносках
