ngr,http,kb,doc_id,sig,verdict
Z950002198_,200,194,Z950002198_,37,OK
Z990000353_,200,299,Z990000353_,177,OK
Z040000588_,200,790,Z040000588_,212,OK
Z020000299_,200,205,Z020000299_,130,OK
Z1400000202,200,752,Z1400000202,242,OK
Z1600000011,200,627,Z1600000011,135,OK
Z2400000103,200,293,Z2400000103,133,OK
Z1200000552,200,571,Z1200000552,266,OK
Z010000143_,200,241,Z010000143_,169,OK
Z980000258_,200,83,Z980000258_,27,OK
Z010000271_,200,101,Z010000271_,24,OK
Z2300000014,200,107,Z2300000014,71,OK
Z2300000021,200,246,Z2300000021,96,OK
Z050000054_,200,166,Z050000054_,96,OK
Z930004200_,200,93,Z930004200_,39,OK
Z1800000176,200,413,Z1800000176,148,OK
Z030000385_,200,166,Z030000385_,85,OK
Z030000415_,200,540,Z030000415_,1180,OK
Z2600000258,200,1345,Z2600000258,305,OK
Z1500000383,200,148,Z1500000383,79,OK
Z960000019_,200,142,Z960000019_,155,OK
Z030000444_,200,175,Z030000444_,67,OK
Z2400000110,200,105,Z2400000110,58,OK
Z100000261_,200,754,Z100000261_,454,OK
Z1500000401,200,216,Z1500000401,63,OK
Z1600000480,200,381,Z1600000480,150,OK
Z1200000056,200,539,Z1200000056,169,OK
Z030000402_,200,84,Z030000402_,17,OK
Z1500000436,200,155,Z1500000436,74,OK
Z1200000561,200,572,Z1200000561,211,OK
Z020000339_,200,463,Z020000339_,184,OK
Z990000416_,200,252,Z990000416_,68,OK
Z070000219_,200,174,Z070000219_,58,OK
Z1400000194,200,595,Z1400000194,244,OK
Z020000331_,200,153,Z020000331_,84,OK
Z030000446_,200,267,Z030000446_,110,OK
Z030000430_,200,213,Z030000430_,411,OK
Z980000326_,200,155,Z980000326_,85,OK
Z040000522_,200,195,Z040000522_,422,OK
Z000000072_,200,116,Z000000072_,77,OK
Z2500000165,200,69,Z2500000165,16,OK
Z1400000176,200,692,Z1400000176,185,OK
Z980000267_,200,136,Z980000267_,70,OK
Z040000603_,200,253,Z040000603_,164,OK
Z030000474_,200,610,Z030000474_,148,OK
Z2200000122,200,176,Z2200000122,80,OK
Z1700000044,200,175,Z1700000044,141,OK
Z030000461_,200,993,Z030000461_,344,OK
Z920002900_,200,146,Z920002900_,99,OK
Z1600000040,200,128,Z1600000040,94,OK
Z960000048_,200,188,Z960000048_,139,OK
Z010000142_,200,166,Z010000142_,92,OK
Z990000349_,200,204,Z990000349_,87,OK
Z000000085_,200,140,Z000000085_,63,OK
Z2100000057,200,81,Z2100000057,46,OK
Z070000310_,200,309,Z070000310_,155,OK
Z2000000322,200,87,Z2000000322,44,OK
Z960000003_,200,85,Z960000003_,53,OK
Z940007000_,200,223,Z940007000_,78,OK
Z970000160_,200,303,Z970000160_,249,OK
Z1200000527,200,196,Z1200000527,49,OK
Z1300000073,200,104,Z1300000073,80,OK
Z000000126_,200,1215,Z000000126_,254,OK
Z2300000193,200,233,Z2300000193,57,OK
Z010000267_,200,36,Z010000267_,12,OK
Z030000391_,200,98,Z030000391_,49,OK
Z950002710_,200,198,Z950002710_,95,OK
Z020000284_,200,716,Z020000284_,597,OK
Z1300000129,200,189,Z1300000129,87,OK
Z040000573_,200,290,Z040000573_,100,OK
Z010000242_,200,887,Z010000242_,336,OK
Z970000187_,200,88,Z970000187_,0,FETCH_THIN
Z980000219_,200,89,Z980000219_,55,OK
Z070000303_,200,521,Z070000303_,515,OK
Z040000574_,200,476,Z040000574_,279,OK
Z020000302_,200,149,Z020000302_,86,OK
Z040000528_,200,187,Z040000528_,290,OK
Z050000029_,200,258,Z050000029_,121,OK
Z1200000550,200,145,Z1200000550,75,OK
Z1100000477,200,387,Z1100000477,138,OK
Z950002483_,200,141,Z950002483_,67,OK
Z1100000413,200,1157,Z1100000413,374,OK
Z1500000392,200,349,Z1500000392,112,OK
Z020000314_,200,181,Z020000314_,124,OK
Z030000476_,200,406,Z030000476_,127,OK
Z1400000199,200,169,Z1400000199,72,OK
Z1600000035,200,110,Z1600000035,45,OK
Z1500000434,200,456,Z1500000434,139,OK
Z1500000320,200,90,Z1500000320,57,OK
Z100000271_,200,117,Z100000271_,84,OK
Z000000110_,200,110,Z000000110_,128,OK
Z2100000086,200,374,Z2100000086,195,OK
Z970000127_,200,176,Z970000127_,64,OK
Z010000245_,200,252,Z010000245_,94,OK
Z020000304_,200,169,Z020000304_,85,OK
Z1500000274,200,180,Z1500000274,72,OK
Z070000223_,200,111,Z070000223_,123,OK
Z000000053_,200,148,Z000000053_,65,OK
Z960000029_,200,186,Z960000029_,89,OK
Z910004800_,200,129,Z910004800_,101,OK
