ngr,class,title
Z980000339_,excluded,"О государственном контроле за оборотом отдельных видов оружия - ИПС ""Әділет"""
Z970000127_,subst,"О мобилизационной подготовке и мобилизации - ИПС ""Әділет"""
Z020000299_,subst,"О дипломатической службе Республики Казахстан - ИПС ""Әділет"""
Z950002710_,subst,"Об органах национальной безопасности Республики Казахстан - ИПС ""Әділет"""
Z1500000434,subst,"О государственных закупках - ИПС ""Әділет"""
Z950002464_,excluded,"О выборах в Республике Казахстан - ИПС ""Әділет"""
Z950002155_,excluded,"О Национальном Банке Республики Казахстан - ИПС ""Әділет"""
Z1500000410,excluded,"О противодействии коррупции - ИПС ""Әділет"""
Z1600000486,excluded,"О долевом участии в жилищном строительстве - ИПС ""Әділет"""
Z090000191_,excluded,"О противодействии легализации (отмыванию) доходов, полученных преступным путем, финансированию терроризма и финансированию распространения оружия массового уничтожения - ИПС ""Әділет"""
Z030000423_,excluded,"О Фонде гарантирования страховых выплат - ИПС ""Әділет"""
Z2100000047,excluded,"О закупках отдельных субъектов квазигосударственного сектора - ИПС ""Әділет"""
Z1400000213,excluded,"Об амнистии граждан Республики Казахстан, оралманов и лиц, имеющих вид на жительство в Республике Казахстан, в связи с легализацией ими имущества - ИПС ""Әділет"""
Z950002733_,excluded,"О Президенте Республики Казахстан - ИПС ""Әділет"""
Z2600000306,excluded,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам приведения их в соответствие с Конституцией Республики Казахстан, совершенствования законодательства Республики Казахстан о выборах, прокуратуре и социальном обеспечении - ИПС ""Әділет"""
Z2500000203,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования правоохранительной службы, жилищного обеспечения и социальной защиты сотрудников правоохранительных, специальных государственных органов, органов гражданской защиты и военнослужащих, а также исключения излишней законодательной регламентации в сфере деятельности органов внутренних дел - ИПС ""Әділет"""
Z060000209_,excluded,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам технического регулирования - ИПС ""Әділет"""
Z1600000479,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам сокращения разрешительных документов и упрощения разрешительных процедур - ИПС ""Әділет"""
Z2200000136,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования порядка прохождения правоохранительной службы, повышения правовой и социальной защищенности и ответственности сотрудников правоохранительных, специальных государственных органов и военнослужащих, межведомственной координации, самостоятельности органов внутренних дел, усиления ответственности за отдельные уголовные правонарушения и оборота оружия - ИПС ""Әділет"""
Z1900000237,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам оборонной и аэрокосмической промышленности, информационной безопасности в сфере информатизации - ИПС ""Әділет"""
Z1400000200,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам деятельности органов внутренних дел - ИПС ""Әділет"""
Z070000318_,amend,"О внесении изменений и дополнений в Закон Республики Казахстан ""О государственном контроле за оборотом отдельных видов оружия"" - ИПС ""Әділет"""
Z1300000107,excluded,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам применения мер нетарифного регулирования в Таможенном союзе - ИПС ""Әділет"""
Z1400000203,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам разрешительной системы - ИПС ""Әділет"""
Z1600000028,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам противодействия экстремизму и терроризму - ИПС ""Әділет"""
Z1800000184,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам обеспечения единства измерений и стандартизации - ИПС ""Әділет"""
Z2000000334,amend,"О внесении изменений и дополнения в некоторые законодательные акты Республики Казахстан по вопросам порядка организации и проведения мирных собраний в Республике Казахстан - ИПС ""Әділет"""
Z2100000075,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам перераспределения полномочий между уровнями государственного управления - ИПС ""Әділет"""
Z070000222_,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам лицензирования - ИПС ""Әділет"""
Z1100000383,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам исключения противоречий, пробелов, коллизий между нормами права различных законодательных актов и норм, способствующих совершению коррупционных правонарушений - ИПС ""Әділет"""
Z2000000351,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам административного процедурно-процессуального законодательства Республики Казахстан - ИПС ""Әділет"""
Z070000320_,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам образования - ИПС ""Әділет"""
Z1000000372,amend,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования деятельности органов внутренних дел в сфере обеспечения общественной безопасности - ИПС ""Әділет"""
Z2600000256,excluded,"О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам цифровизации, транспорта и предпринимательства - ИПС ""Әділет"""
