original,article,anchor,link,context
пункте 4 настоящей статьи,4_p4,?,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z955"">пункте 4</a> настоящей статьи","4-1. Требования, указанные в пункте 4 настоящей статьи, распространяются также на руководит"
Статья 6,6,z8,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z8"">Статья 6</a>","Статья 6 дополнена пунктом 2-7 с 01.01.2018 для городов районного значения, сел, поселков, сел"
Статью 6,6,z8,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z8"">Статью 6</a>",Статью 6 предусматривается дополнить пунктом 2-17) в соответствии с Законом РК от 19.05.2026
статьи 24,24,z29,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z29"">статьи 24</a>",статьи 24 настоящего Закона;
пункта 2 настоящей статьи,24-1_p2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z257"">пункта 2</a> настоящей статьи","6. В случае, если в результате проверки достоверности подписей будет установлено, что свыше"
6,6,z8,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z8"">6</a>",и 6
6,6,z8,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z8"">6</a>",и 6
пунктом 2 настоящей статьи,32_p2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z969"">пунктом 2</a> настоящей статьи","3. При прекращении полномочий акима района (города областного значения) по основаниям, пред"
пунктом 1 настоящей статьи,35_p1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z457"">пунктом 1</a> настоящей статьи","1-2. В случае отсутствия районов в городе областного значения функции, предусмотренные пунк"
пунктом 5 настоящей статьи,36_p5,?,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z861"">пунктом 5</a> настоящей статьи","6. При прекращении полномочий акима города районного значения, села, поселка, сельского окр"
Статья 39-3,39-3,z270,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z270"">Статья 39-3</a>","Статья 39-3 дополнена подпунктом 1-1) с 01.01.2018 для городов районного значения, сел, поселк"
Статья 39-3,39-3,z270,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z270"">Статья 39-3</a>","Статья 39-3 дополнена подпунктом 1-2) с 01.01.2018 для городов районного значения, сел, поселк"
статьи 20,20,z24,"<a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z24"">статьи 20</a>","статьи 20, установив, что в период приостановления данные пункты действуют в следующей редакции:"
"подпунктами 1), 2), 4), 5), 6), 7), 8), 9) и 10)",20,z806,"
      4. При прекращении полномочий депутата маслихата по основаниям, предусмотренным <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z806"">подпунктами 1)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z807"">2)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z809"">4)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z810"">5)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z811"">6)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z812"">7)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z813"">8)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z814"">9)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z815"">10)</a> ",
"подпунктами 3-1), 3-2) и 3-3)",20,z816,"
      4-1. При прекращении полномочий по основаниям, предусмотренным <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z816"">подпунктами 3-1)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z817"">3-2)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z965"">3-3)</a> ",
подпунктом 4-3),39-3,z39-3_3_4-3,"
      О времени, месте созыва схода местного сообщества, собрания местного сообщества и обсуждаемых вопросах население местного сообщества оповещается не позднее чем за десять календарных дней до дня их проведения через средства массовой информации или иными способами, за исключением случая, предусмотренного <a href=""https://adilet.zan.kz/rus/docs/Z010000148_#z39-3_3_4-3"">подпунктом 4-3)</a> ",
