original,article,anchor,link,context
статьи 69,69,z672,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z672"">статьи 69</a>","статьи 69,"
пункта 1 статьи 80,80,z742,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z742"">пункта 1 статьи 80</a>",пункта 1 статьи 80 настоящего Закона.
пункта 2 статьи 6,6,z42,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z42"">пункта 2 статьи 6</a>",пункта 2 статьи 6 настоящего Закона РК признан не соответствующим
пункта 2 статьи 6,6,z42,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z42"">пункта 2 статьи 6</a>",пункта 2 статьи 6 настоящего Закона РК признан соответствующим
пункте 2 настоящей статьи,6_p2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z44"">пункте 2</a> настоящей статьи","3. Непредставление или искажение сведений, указанных в пункте 2 настоящей статьи, является"
пунктов 4 и 5 настоящей статьи,6_multi,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z55"">пунктов 4</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z56"">5</a> настоящей статьи","8. Действие пунктов 4 и 5 настоящей статьи не распространяется на сотрудников, ранее являвш"
пунктом 1 статьи 7-1,7-1,z1263,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z1263"">пунктом 1 статьи 7-1</a>",настоящей статьи и пунктом 1 статьи 7-1 настоящего Закона.
пунктом 1 статьи 7-1,7-1,z1263,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z1263"">пунктом 1 статьи 7-1</a>",статьи 7 и пунктом 1 статьи 7-1 настоящего Закона.
статьи 7,7,z58,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z58"">статьи 7</a>",статьи 7 и пунктом 1 статьи 7-1 настоящего Закона.
статьи 6,6,z42,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z42"">статьи 6</a>","статьи 6 настоящего Закона, осуществляются кадровыми службами и иными подразделениями правоохраните"
"подпунктов 1), 5), 8), 11), 12), 13), 14) и 15) пункта 1 статьи 16",16,z148,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z148"">подпунктов 1), 5), 8), 11), 12), 13), 14) и 15) пункта 1 статьи 16</a>","9. На лиц, проходящих первоначальную профессиональную подготовку, распространяется действие"
статьи 17,17,z168,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z168"">статьи 17</a>",статьи 17 настоящего Закона.
подпункте 3-2) настоящего пункта,17_1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z1422"">подпункте 3-2)</a> настоящего пункта","3-1) участвовать в управлении коммерческой или некоммерческой организацией, за исключением"
пункта 3 настоящей статьи,22_p3,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z225"">пункта 3</a> настоящей статьи","Имеющееся у назначенного в правоохранительный орган лица специальное, воинское звание или к"
статьи 56,56,z548,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z548"">статьи 56</a>","статьи 56 настоящего Закона, или по результатам аттестации;"
статьи 31,31,z347,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z347"">статьи 31</a>",статьи 31 настоящего Закона;
пункта 2 настоящей статьи,46-1_p2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z816"">пункта 2</a> настоящей статьи","В случае зачисления сотрудника в распоряжение правоохранительного органа по основаниям, пре"
пункта 2 настоящей статьи,46-1_p2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z816"">пункта 2</a> настоящей статьи","В случае зачисления сотрудника в распоряжение правоохранительного органа по основанию, пред"
части первой,55_p1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z532"">части первой</a>","Руководитель организации образования правоохранительных органов к сотрудникам, обучающимся"
подпунктом 9) настоящего пункта,56_2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z793"">подпунктом 9)</a> настоящего пункта",9) увольнение из правоохранительного органа с лишением специального звания или классного чи
пункта 1 статьи 80,80,z742,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z742"">пункта 1 статьи 80</a>",пункта 1 статьи 80 настоящего Закона.
статьи 80,80,z742,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z742"">статьи 80</a>",статьи 80 настоящего Закона.
пункта 4 настоящей статьи,56_p4,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z1319"">пункта 4</a> настоящей статьи","незначительным является проступок, за который наложено дисциплинарное взыскание, предусмотр"
пункта 2 настоящей статьи,56_p2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z550"">пункта 2</a> настоящей статьи","значительным является проступок, за который наложено дисциплинарное взыскание, предусмотрен"
пункта 2 настоящей статьи,56_p2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z550"">пункта 2</a> настоящей статьи","грубым является проступок, за который наложено дисциплинарное взыскание, предусмотренное по"
подпунктом 4) пункта 4 статьи 56,56,z548,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z1323"">подпунктом 4)</a> <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z1319"">пункта 4</a> <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z548"">статьи 56</a>","и подпунктом 4) пункта 4 статьи 56 настоящего Закона, приказ о наложении взыскания в течение трех р"
статьи 75,75,z704,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z704"">статьи 75</a>",статьи 75 настоящего Закона;
части первой,70_p1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z923"">части первой</a>","Оплата услуг субъектов здравоохранения по оказанию медицинской помощи сотрудникам, указанно"
части первой,70_p1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z923"">части первой</a>",Оплата услуг медицинских организаций органов внутренних дел по оказанию медицинской помощи
статьи 6,6,z42,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z42"">статьи 6</a>",статьи 6 настоящего Закона;
пункта 1 настоящей статьи,80_p1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z743"">пункта 1</a> настоящей статьи","3. Основания увольнения сотрудников, предусмотренные подпунктами 12) - 16) пункта 1 настоящ"
пункта 1 настоящей статьи,80_p1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z743"">пункта 1</a> настоящей статьи","В случае увольнения сотрудника по основаниям, предусмотренным подпунктами 9), 10), 12), 12-"
статьи 80,80,z742,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z742"">статьи 80</a>","статьи 80 настоящего Закона, письменно уведомляются об увольнении либо достижении предельного возра"
статьи 80,80,z742,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z742"">статьи 80</a>",статьи 80 настоящего Закона.
пункта 1 статьи 60,60,z615,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z615"">пункта 1 статьи 60</a>","пункта 1 статьи 60, подпунктов 1), 3), 4), 5), 6) и 8)"
статьи 61,61,z625,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z625"">статьи 61</a>","статьи 61, подпунктов 3) и 3-1)"
статьи 72,72,z689,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z689"">статьи 72</a>","статьи 72,"
пункта 1 статьи 80,80,z742,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z742"">пункта 1 статьи 80</a>","пункта 1 статьи 80,"
статьи 60,60,z615,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z615"">статьи 60</a>","статьи 60, подпунктов 2), 2-1) и 7)"
статьи 61,61,z625,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z625"">статьи 61</a>",статьи 61 и
статьи 66,66,z653,"<a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z653"">статьи 66</a>","статьи 66 настоящего Закона распространяется в том числе на лиц, которые на 1 января 2022 года явля"
"подпунктов 5), 6), 7) и 8)",17,z174,", <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z174"">подпунктов 5)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z175"">6)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z176"">7)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z177"">8)</a> ",
подпунктом 5),56,z555,"
      2) освобождение сотрудника от занимаемой должности в порядке дисциплинарного взыскания, предусмотренного <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z555"">подпунктом 5)</a> ",
"подпунктами 1), 3), 4) и 5)",46-1,z46-1_2_1,"
      В случае зачисления сотрудника в распоряжение правоохранительного органа по основаниям, предусмотренным <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z46-1_2_1"">подпунктами 1)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z46-1_2_3"">3)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z46-1_2_4"">4)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z46-1_2_5"">5)</a> ",
подпунктом 2),46-1,z46-1_2_2,"
      В случае зачисления сотрудника в распоряжение правоохранительного органа по основанию, предусмотренному <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z46-1_2_2"">подпунктом 2)</a> ",
подпунктом 6),46-1,z46-1_2_6,"
      В случае зачисления сотрудника в распоряжение правоохранительного органа по основанию, предусмотренному <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z46-1_2_6"">подпунктом 6)</a> ",
подпунктами 12) и 13),80,z755,"
      5. Наложение дисциплинарного взыскания в виде отчисления из организации образования правоохранительного органа за грубое нарушение сотрудником служебной дисциплины или совершение проступков, дискредитирующих правоохранительный орган, является основанием для увольнения сотрудника по отрицательным мотивам, предусмотренным <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z755"">подпунктами 12)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z756"">13)</a> ",
подпунктом 3),56,z562,"
      12-1. В случае наложения организациями образования правоохранительного органа дисциплинарного взыскания, предусмотренного <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z562"">подпунктом 3)</a> ",
подпунктами 12) - 16),80,z755,"
      3. Основания увольнения сотрудников, предусмотренные <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z755"">подпунктами 12)</a> - <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z759"">16)</a> ",
"подпунктами 9), 10), 12), 12-1), 13), 14), 15) и 16)",80,z752,"
      В случае увольнения сотрудника по основаниям, предусмотренным <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z752"">подпунктами 9)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z753"">10)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z755"">12)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z794"">12-1)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z756"">13)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z757"">14)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z758"">15)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z759"">16)</a> ",
"подпунктами 1), 2), 4), 5) и 18)",80,z744,"
      Увольнение сотрудников в период нахождения их в отпусках и на лечении не допускается, за исключением увольнения сотрудника по основаниям, предусмотренным <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z744"">подпунктами 1)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z745"">2)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z747"">4)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z748"">5)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z862"">18)</a> ",
"подпунктов 1), 3), 4), 5), 6) и 8)",61,z61_1_1,", <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_1"">подпунктов 1)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_3"">3)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_4"">4)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_5"">5)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_6"">6)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_8"">8)</a> ",
подпунктов 3) и 3-1),69,z675,", <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z675"">подпунктов 3)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z798"">3-1)</a> ",
"подпунктов 2), 2-1) и 7)",61,z61_1_2,", <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_2"">подпунктов 2)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_2-1"">2-1)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z61_1_7"">7)</a> ",
"
      Пункт 5 ",41,z1239,"
      <a href=""https://adilet.zan.kz/rus/docs/Z1100000380#z1239"">Пункт 5</a>",
