original,article,anchor,link,context
128,128,z520,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z520"">128</a>","1-1) преступления, связанные с торговлей людьми, – деяния, предусмотренные статьями 116, 125 (пу"
126,126,z513,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z513"">126</a>","1-1) преступления, связанные с торговлей людьми, – деяния, предусмотренные статьями 116, 125 (пу"
"статьями 116, 125",116,z472,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z472"">статьями 116</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z510"">125</a>","1-1) преступления, связанные с торговлей людьми, – деяния, предусмотренные статьями 116, 125 (пу"
232-1,232-1,z3123,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3123"">232-1</a>","– количество товаров, стоимость которых превышает две тысячи месячных расчетных показателей; 217-1"
217-1,217-1,z2753,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2753"">217-1</a>","– количество товаров, стоимость которых превышает две тысячи месячных расчетных показателей; 217-1"
301-1,301-1,z2940,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2940"">301-1</a>","– ущерб, причиненный на сумму,  в одну тысячу раз превышающую месячный расчетный показатель; 233-1"
269-1,269-1,z2712,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2712"">269-1</a>","– ущерб, причиненный на сумму,  в одну тысячу раз превышающую месячный расчетный показатель; 233-1"
233-1,233-1,z3131,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3131"">233-1</a>","– ущерб, причиненный на сумму,  в одну тысячу раз превышающую месячный расчетный показатель; 233-1"
340,340,z1262,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1262"">340</a>",", 328, 334, 335, 337 и 342 – стоимостное выражение затрат, необходимых для устранения экологического"
328,328,z1224,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1224"">328</a>",", 328, 334, 335, 337 и 342 – стоимостное выражение затрат, необходимых для устранения экологического"
188-1,188-1,z2473,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2473"">188-1</a>",", 188-1,"
295-1,295-1,z2725,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2725"">295-1</a>","и 295-1 – стоимость имущества или размер ущерба, в две тысячи раз превышающие месячный расчетный по"
195,195,z737,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z737"">195</a>",", 195,"
233-1,233-1,z3131,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3131"">233-1</a>",", 233-1 и"
214-1,214-1,z3111,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3111"">214-1</a>",", 214-1, 214-2 и 301-1 - доход, сумма которого превышает двадцать тысяч месячных расчетных показател"
342,342,z1270,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1270"">342</a>",", 342 и"
пунктом 8) части второй статьи 108-1,108-1,z2902,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2902"">пунктом 8) части второй статьи 108-1</a>",", пунктом 8) части второй статьи 108-1, пунктом 1) части второй"
статьи 125-1,125,z510,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z510"">статьи 125-1</a>","(в случае совершения преступления в отношении несовершеннолетнего), пунктом 2) части второй и часть"
188-1,188-1,z2473,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2473"">188-1</a>",", 188-1,"
233-1,233-1,z3131,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3131"">233-1</a>",", 233-1,"
214-1,214-1,z3111,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3111"">214-1</a>",", 214-1, 214-2 – доход, сумма  которого превышает десять тысяч месячных расчетных показателей;"
214-1,214-1,z3111,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3111"">214-1</a>",", 214-1, 214-2,"
216,216,z827,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z827"">216</a>","(часть вторая) – ущерб, причиненный гражданину на сумму, в две тысячи раз превышающую месячный расч"
232-1,232-1,z3123,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3123"">232-1</a>","– стоимость банкнот, монет, ценных бумаг, иностранной валюты,  в отношении которых совершена поддел"
340,340,z1262,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1262"">340</a>",", 341, 342 и 343 – стоимостное выражение затрат, необходимых для устранения экологического ущерба ил"
341,341,z1267,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1267"">341</a>",", 341, 342 и 343 – стоимостное выражение затрат, необходимых для устранения экологического ущерба ил"
352-1,352-1,z3141,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3141"">352-1</a>","и 352-1 – размер ущерба, превышающий две тысячи месячных расчетных показателей;"
статьи 188-1,188,z701,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z701"">статьи 188-1</a>","), скотокрадство (части вторая, третья и четвертая статьи 188-1), грабеж (части вторая, третья и чет"
части третьей,26_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z3063"">части третьей</a>","4. Если действия организатора или подстрекателя, указанные в части третьей настоящей статьи, не"
части первой,35_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1789"">части первой</a>","2. Положения части первой настоящей статьи не распространяются на лиц, совершивших деяния, сопря"
"пунктах 1), 2), 3) и 4) настоящей части",48_2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z48_2_1"">пунктах 1)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z48_2_2"">2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z48_2_3"">3)</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z48_2_4"">4)</a> настоящей части","5) указанные в пунктах 1), 2), 3) и 4) настоящей части, переданные в собственность других лиц."
части пятой,48_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1616"">части пятой</a>",Положения пункта второго части пятой настоящей статьи не применяются к вступившим по состоянию н
статьей 346,346,z1287,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1287"">статьей 346</a>","За совершение транспортных преступлений, предусмотренных частью четвертой статьи 345-1 и статьей"
статьи 345-1,345,z1282,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1282"">статьи 345-1</a>","За совершение транспортных преступлений, предусмотренных частью четвертой статьи 345-1 и статьей"
частью первой,53_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z215"">частью первой</a>","2. При назначении наказания могут учитываться в качестве смягчающих и обстоятельства, не предусм"
части первой,54_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z219"">части первой</a>","2. Если обстоятельство, указанное в части первой настоящей статьи, предусмотрено соответствующей"
части первой,54_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z219"">части первой</a>","3. При назначении наказания суд не может признать отягчающими обстоятельства, не указанные в час"
частью четвертой,55_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z226"">частью четвертой</a>","9. Если санкция статьи Особенной части настоящего Кодекса не предусматривает иной вид наказания,"
статьи 46,46,z179,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z179"">статьи 46</a>","2) женщинам, лицам с инвалидностью первой или второй группы, мужчинам в возрасте шестидесяти тре"
части первой,62_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z256"">части первой</a>","2. При замене наказания или сложения наказаний, указанных в части первой настоящей статьи, а так"
части первой,64_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z271"">части первой</a>",3. В случае неисполнения условно осужденным возложенных на него судом обязанностей либо повторно
части второй,64_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z272"">части второй</a>",3. В случае неисполнения условно осужденным возложенных на него судом обязанностей либо повторно
частью четвертой,64_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z274"">частью четвертой</a>",5. В случаях совершения условно осужденным в течение срока пробационного контроля умышленного пр
части первой,65_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z278"">части первой</a>","2. Положения части первой настоящей статьи не распространяются на лиц, совершивших террористичес"
части первой,67_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z1779"">части первой</a>","2. Положение части первой настоящей статьи не распространяется на лиц, совершивших преступления"
статьями 108-1 и 109-1,108-1,z2902,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2902"">статьями 108-1</a> и <a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2915"">109-1</a>","9) уголовное правонарушение, предусмотренное статьями 108-1 и 109-1 настоящего Кодекса, в течени"
части первой,71_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z298"">части первой</a>","Течение давности прерывается, если до истечения указанных в части первой настоящей статьи сроков"
части седьмой,72_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z311"">части седьмой</a>","3-1) не менее двух третей от оставшегося неотбытого срока наказания в случае, если примененное р"
части седьмой,72_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z311"">части седьмой</a>",части седьмой настоящей статьи;
части седьмой,72_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z311"">части седьмой</a>","3) не менее половины срока наказания, назначенного судом за особо тяжкое преступление, не сопряж"
части седьмой,72_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z311"">части седьмой</a>","4) не менее двух третей срока наказания, назначенного судом за особо тяжкое преступление, сопряж"
пункте 2) настоящей части,72_7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z72_7_2"">пункте 2)</a> настоящей части","3) умышленное преступление, за исключением случаев, указанных в пункте 2) настоящей части, суд о"
статьи 72,72,z304,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z304"">статьи 72</a>",части восьмой статьи 72 Уголовного кодекса РК признан соответствующим
части второй,73_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z315"">части второй</a>",2-1. В случае отмены условно-досрочного освобождения от отбывания наказания в виде лишения свобо
части первой,74_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z319"">части первой</a>","2. В случаях, если осужденное лицо, указанное в части первой настоящей статьи, отказалось от реб"
части первой,76_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z328"">части первой</a>","2. Лицу, осужденному к лишению свободы за тяжкое или особо тяжкое преступление, за исключением л"
части первой,77_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z331"">части первой</a>","4. Течение срока давности по преступлениям прерывается, если до истечения указанных в части перв"
частью десятой,79_p10,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z2815"">частью десятой</a>","9. Погашение или снятие судимости аннулирует все уголовно-правовые последствия, предусмотренные"
частью пятой,85_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z383"">частью пятой</a>",6. Продление пребывания в организации образования с особым режимом содержания после истечения ср
части первой,91_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z403"">части первой</a>","2. Лицам, указанным в части первой настоящей статьи, принудительные меры медицинского характера"
части первой,91_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z403"">части первой</a>","4. В отношении лиц, указанных в пунктах 1) – 4) части первой настоящей статьи и не представляющи"
пунктами 3) и 5) части первой статьи 91,91,z402,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z402"">пунктами 3) и 5) части первой статьи 91</a>","1. В случае, предусмотренном пунктами 3) и 5) части первой статьи 91 настоящего Кодекса, принуди"
статьи 91,91,z402,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z402"">статьи 91</a>",") части первой статьи 91 настоящего Кодекса, принудительные меры медицинского характера исполняются"
статьей 98-2,98,z425,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z425"">статьей 98-2</a>","В целях защиты прав и законных интересов потерпевших с виновного лица, совершившего уголовное пр"
статьи 109-1,109,z456,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000226#z456"">статьи 109-1</a>","4. В течение срока действия особых требований к поведению лица, в отношении которого досудебное"
