slug,doc_id,n,pre,struct,links,canon,gate,chunk,sa,ca,status,note
K1500000377,K1500000377,490,ok,ok,ok,ok,GREEN,ok,490,490,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (45s)
Z000000078_,Z000000078_,34,ok,ok,ok,ok,GREEN,ok,34,34,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z000000113_,Z000000113_,37,ok,ok,ok,ok,GREEN,ok,37,37,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z010000156_,Z010000156_,3,ok,ok,ok,ok,GREEN,ok,0,0,EMPTY,chunks=0 (структ.статей=0)  (7s)
Z010000178_,Z010000178_,32,ok,ok,ok,ok,GREEN,ok,32,32,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z010000197_,Z010000197_,41,ok,ok,ok,ok,GREEN,ok,41,41,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z010000211_,Z010000211_,42,ok,ok,ok,ok,GREEN,ok,42,42,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z010000217_,Z010000217_,19,ok,ok,ok,ok,GREEN,ok,19,19,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z010000222_,Z010000222_,0,КРИВО,-,-,-,-,-,-,-,QUARANTINE,статей=0
Z010000264_,Z010000264_,6,ok,ok,ok,ok,GREEN,ok,6,6,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z010000266_,Z010000266_,123,ok,ok,ok,ok,GREEN,ok,123,123,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (17s)
Z010000268_,Z010000268_,1,ok,ok,ok,ok,GREEN,ok,1,1,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (6s)
Z020000303_,Z020000303_,20,ok,ok,ok,ok,GREEN,ok,20,20,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z020000330_,Z020000330_,24,ok,ok,ok,ok,GREEN,ok,24,24,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z020000343_,Z020000343_,19,ok,ok,ok,ok,GREEN,ok,19,19,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z020000344_,Z020000344_,24,ok,ok,ok,ok,GREEN,ok,24,24,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z020000345_,Z020000345_,96,ok,ok,ok,ok,GREEN,ok,96,96,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z030000387_,Z030000387_,35,ok,ok,ok,ok,GREEN,ok,35,35,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z030000400_,Z030000400_,26,ok,ok,ok,ok,GREEN,ok,26,26,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z030000435_,Z030000435_,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z030000439_,Z030000439_,14,ok,ok,ok,ok,GREEN,ok,14,14,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z030000440_,Z030000440_,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z030000490_,Z030000490_,23,ok,ok,ok,ok,GREEN,ok,23,23,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z030000508_,Z030000508_,25,ok,ok,ok,ok,GREEN,ok,25,25,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z030000510_,Z030000510_,20,ok,ok,ok,ok,GREEN,ok,20,20,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z030000513_,Z030000513_,26,ok,ok,ok,ok,GREEN,ok,26,26,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z040000544_,Z040000544_,67,ok,ok,ok,ok,GREEN,ok,67,67,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (13s)
Z040000567_,Z040000567_,69,ok,ok,ok,ok,GREEN,ok,69,69,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (17s)
Z040000576_,Z040000576_,60,ok,ok,ok,ok,GREEN,ok,60,60,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (13s)
Z040000580_,Z040000580_,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z040000593_,Z040000593_,83,ok,ok,ok,ok,GREEN,ok,83,83,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (21s)
