slug,doc_id,n,pre,struct,links,canon,gate,chunk,sa,ca,status,note
Z950002198_,Z950002198_,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z990000353_,Z990000353_,83,ok,ok,ok,ok,GREEN,ok,83,83,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (12s)
Z040000588_,Z040000588_,64,ok,ok,ok,ok,GREEN,ok,64,64,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (24s)
Z020000299_,Z020000299_,43,ok,ok,ok,ok,GREEN,ok,43,43,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z1400000202,Z1400000202,54,ok,ok,ok,ok,GREEN,ok,54,54,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (39s)
Z1600000011,Z1600000011,70,ok,ok,ok,ok,GREEN,ok,68,68,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (22s)
Z2400000103,Z2400000103,55,ok,ok,ok,ok,GREEN,ok,55,55,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (13s)
Z1200000552,Z1200000552,90,ok,ok,ok,ok,GREEN,ok,90,90,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (20s)
Z010000143_,Z010000143_,68,ok,ok,ok,ok,GREEN,ok,68,68,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (12s)
Z980000258_,Z980000258_,11,ok,ok,ok,ok,GREEN,ok,11,11,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2300000014,Z2300000014,31,ok,ok,ok,ok,GREEN,ok,31,31,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2300000021,Z2300000021,38,ok,ok,ok,ok,GREEN,ok,38,38,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z050000054_,Z050000054_,40,ok,ok,ok,ok,GREEN,ok,40,40,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z930004200_,Z930004200_,18,ok,ok,ok,ok,GREEN,ok,18,18,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z1800000176,Z1800000176,106,ok,ok,ok,ok,GREEN,ok,106,106,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z030000385_,Z030000385_,31,ok,ok,ok,ok,GREEN,ok,31,31,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z030000415_,Z030000415_,98,ok,ok,ok,ok,GREEN,ok,98,98,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (26s)
Z2600000258,Z2600000258,135,ok,ok,ok,ok,GREEN,ok,135,135,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (96s)
Z1500000383,Z1500000383,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z030000444_,Z030000444_,28,ok,ok,ok,ok,GREEN,ok,28,28,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z2400000110,Z2400000110,25,ok,ok,ok,ok,GREEN,ok,25,25,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z100000261_,Z100000261_,191,ok,ok,ok,ok,GREEN,ok,191,191,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (25s)
Z1500000401,Z1500000401,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z1600000480,Z1600000480,80,ok,ok,ok,ok,GREEN,ok,80,80,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z1200000056,Z1200000056,56,ok,ok,ok,ok,GREEN,ok,58,58,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (20s)
Z1500000436,Z1500000436,26,ok,ok,ok,ok,GREEN,ok,26,26,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z1200000561,Z1200000561,69,ok,ok,ok,ok,RED,ok,69,69,GATE_RED,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (20s)
Z020000339_,Z020000339_,54,ok,ok,ok,ok,GREEN,ok,54,54,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (17s)
Z990000416_,Z990000416_,41,ok,ok,ok,ok,GREEN,ok,41,41,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z070000219_,Z070000219_,26,ok,ok,ok,ok,GREEN,ok,26,26,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z1400000194,Z1400000194,102,ok,ok,ok,ok,GREEN,ok,102,102,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (19s)
Z020000331_,Z020000331_,38,ok,ok,ok,ok,GREEN,ok,38,38,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z030000446_,Z030000446_,46,ok,ok,ok,ok,GREEN,ok,46,46,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (12s)
Z980000326_,Z980000326_,32,ok,ok,ok,ok,GREEN,ok,32,32,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z000000072_,Z000000072_,37,ok,ok,ok,ok,GREEN,ok,37,37,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z2500000165,Z2500000165,13,ok,ok,ok,ok,GREEN,ok,13,13,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z1400000176,Z1400000176,147,ok,ok,ok,ok,GREEN,ok,147,147,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (23s)
Z030000474_,Z030000474_,76,ok,ok,ok,ok,GREEN,ok,76,76,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (20s)
Z2200000122,Z2200000122,32,ok,ok,ok,ok,GREEN,ok,32,32,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z1700000044,Z1700000044,64,ok,ok,ok,ok,GREEN,ok,64,64,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z030000461_,Z030000461_,162,ok,ok,ok,ok,GREEN,ok,164,162,UNDER_CHUNK,чанк-статей 162 != структ-статей 164  (30s)
Z1600000040,Z1600000040,42,ok,ok,ok,ok,GREEN,ok,42,42,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z010000142_,Z010000142_,43,ok,ok,ok,ok,GREEN,ok,43,43,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z990000349_,Z990000349_,39,ok,ok,ok,ok,GREEN,ok,39,39,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z000000085_,Z000000085_,29,ok,ok,ok,ok,GREEN,ok,29,29,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
