original,article,anchor,link,context
Статью 1,1,z3,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z3"">Статью 1</a>",Статью 1 предусматривается дополнить подпунктами 2-2) и 2-3) в соответствии с Законом РК от 19
Статью 1,1,z3,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z3"">Статью 1</a>",Статью 1 предусматривается дополнить подпунктом 4-3) в соответствии с Законом РК от 09.01.2026
Статью 1,1,z3,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z3"">Статью 1</a>",Статью 1 предусматривается дополнить подпунктами 17-5) и 17-6) в соответствии с Законом РК от
Статью 9,9,z18,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z18"">Статью 9</a>",Статью 9 предусматривается дополнить подпунктом 11-1) в соответствии с Законом РК от 09.01.202
Статью 9,9,z18,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z18"">Статью 9</a>","Статью 9 предусматривается дополнить подпунктами 13-2), 13-3) и 13-4)  в соответствии с Законо"
Статью 10,10,z19,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z19"">Статью 10</a>",Статью 10 предусматривается дополнить подпунктом 4-1) в соответствии с Законом РК от 19.05.202
Статью 10,10,z19,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z19"">Статью 10</a>",Статью 10 предусматривается дополнить подпунктом 9-2) в соответствии с Законом РК от 09.01.202
Статью 10,10,z19,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z19"">Статью 10</a>",Статью 10 предусматривается дополнить подпунктом 15-1) в соответствии с Законом РК от 09.01.20
Статью 12,12,z22,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z22"">Статью 12</a>",Статью 12 предусматривается дополнить пунктом 1-1 в соответствии с Законом РК от 09.01.2026
Статью 13,13,z25,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z25"">Статью 13</a>",Статью 13 предусматривается дополнить пунктами 4 и 5 в соответствии с Законом РК от 09.01.2026
Статью 15,15,z15h,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z15h"">Статью 15</a>",Статью 15 предусматривается исключить Законом РК от 09.01.2026
Статья 19,19,z19h,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z19h"">Статья 19</a>",Статья 19 предусматривается в редакции Закона РК от 19.05.2026
статьи 19-1,19-1,z19-1h,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z19-1h"">статьи 19-1</a>",В заголовок статьи 19-1 предусматривается изменение Законом РК от 19.05.2026
Статью 19-1,19-1,z19-1h,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z19-1h"">Статью 19-1</a>",Статью 19-1 предусматривается дополнить пунктами 1-1 и 1-2 в соответствии с Законом РК от 19.0
статьей 8,8,z17,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z17"">статьей 8</a>","6) отсутствие согласия услугополучателя, предоставляемого в соответствии со статьей 8 Закон"
Статью 20,20,z43,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z43"">Статью 20</a>",Статью 20 предусматривается дополнить пунктами 2-1 и 2-2 в соответствии с Законом РК от 19.05.
Статью 21,21,z50,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z50"">Статью 21</a>",Статью 21 предусматривается дополнить пунктом 6 в соответствии с Законом РК от 09.01.2026
Статью 21,21,z50,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z50"">Статью 21</a>",Статью 21 предусматривается дополнить пунктом 7 в соответствии с Законом РК от 19.05.2026
Статья 21-1,21-1,z21-1h,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z21-1h"">Статья 21-1</a>",Статья 21-1 предусматривается в редакции Закона РК от 09.01.2026
статьи 22,22,z55,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z55"">статьи 22</a>",Часть 2 статьи 22 предусматривается в редакции Закона РК от 09.01.2026
Статью 22,22,z55,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z55"">Статью 22</a>",Статью 22 предусматривается дополнить частью третьей в соответствии с Законом РК от 09.01.2026
подпункте 1) пункта 6 статьи 27-1,27-1,z264,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z282"">подпункте 1)</a> <a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z281"">пункта 6</a> <a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z264"">статьи 27-1</a>",5. В ходе проверки должностным лицом уполномоченного органа по оценке и контролю за качеств
подпункте 1) пункта 6 статьи 27-1,27-1,z264,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z282"">подпункте 1)</a> <a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z281"">пункта 6</a> <a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z264"">статьи 27-1</a>","6. Субъект государственного контроля за качеством оказания государственных услуг, а также л"
пункта 4 настоящей статьи,27-2_p4,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z308"">пункта 4</a> настоящей статьи",По результатам рассмотрения поступивших возражений к проекту справки о результатах проверки
статьи 30,30,z30h,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000088#z30h"">статьи 30</a>",В заголовок и текст статьи 30 предусматриваются изменения Законом РК от 09.01.2026
