original,article,anchor,link,context
статье 1,1,z4,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z4"">статье 1</a>","2. Суд, органы (должностные лица), уполномоченные рассматривать дела об административных пр"
"статьями 651, 652",651,z2164,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z2164"">статьями 651</a>, <a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z2165"">652</a>",1. Военнослужащие и находящиеся на воинских сборах военнообязанные несут ответственность за
676,676,z2209,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z2209"">676</a>",", 676, 677, 680, 681 настоящего Кодекса. Сотрудники специальных государственных и правоохранительных"
статьей 59,59,z59h,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z59h"">статьей 59</a>",4. Административное взыскание не является средством возмещения имущественного ущерба. Причи
части первой,41_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z1743"">части первой</a>",2. К юридическим лицам за совершение административных правонарушений могут применяться адми
части второй,44_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z142"">части второй</a>","3. Штраф, исчисленный в соответствии с абзацем вторым части первой настоящей статьи, может"
части первой,44_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z141"">части первой</a>","3. Штраф, исчисленный в соответствии с абзацем вторым части первой настоящей статьи, может"
6-1 настоящей статьи,47_6-1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z4208"">6-1</a> настоящей статьи","1-1. Лишение разрешения либо приостановление его действия налагаются судьей, уполномоченным"
частью седьмой,49-1_p7,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z5337"">частью седьмой</a>","8. В случае возникновения в период выполнения общественных работ обстоятельств, предусмотре"
статьи 50,50,z4866,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z4866"">статьи 50</a>",Конституционным Судом РК начато производство по проверке конституционности части второй статьи
части первой,52_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K1400000235#z4307"">части первой</a>","2. Меры административно-правового воздействия, указанные в части первой настоящей статьи, п"
