original,article,anchor,link,context
пункта 2 настоящей статьи,8_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z137"">пункта 2</a> настоящей статьи",3. Действие пункта 2 настоящей статьи не распространяется на отношения в сферах:
подпункте 1) настоящего пункта,11_2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z179"">подпункте 1)</a> настоящего пункта","2) лица, являющиеся кандидатами на государственную должность либо должность, связанную с вы"
пункта 2 настоящей статьи,11_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z146"">пункта 2</a> настоящей статьи",8. Непредставление сведений или представление недостоверных сведений в декларации об активах и обяза
пункта 2 настоящей статьи,11_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z146"">пункта 2</a> настоящей статьи","лицами, указанными в подпункте 2) пункта 2 настоящей статьи, – является основанием для отка"
пункте 3 настоящей статьи,11_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z71"">пункте 3</a> настоящей статьи","лицами, указанными в пункте 3 настоящей статьи, – влечет ответственность, предусмотренную К"
части второй,11_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z146"">части второй</a>","Сведения, указанные в части второй настоящего пункта, размещаются службами управления персо"
14-1,14-1,z166,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z166"">14-1</a>",", 14-1 и"
пункта 1 настоящей статьи,12_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z85"">пункта 1</a> настоящей статьи","4. Непринятие антикоррупционных ограничений лицами, указанными в абзаце первом пункта 1 нас"
пункта 1 настоящей статьи,12_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z85"">пункта 1</a> настоящей статьи","5. Члены семьи лица, указанного в абзаце первом пункта 1 настоящей статьи, не вправе получа"
пункта 5 настоящей статьи,12_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z156"">пункта 5</a> настоящей статьи","6. Деньги, поступившие на счет лиц, указанных в абзаце первом пункта 1 настоящей статьи, и"
пункта 1 настоящей статьи,12_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z85"">пункта 1</a> настоящей статьи","6. Деньги, поступившие на счет лиц, указанных в абзаце первом пункта 1 настоящей статьи, и"
пункта 1 настоящей статьи,12_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z85"">пункта 1</a> настоящей статьи","Подарки, поступившие без ведома лиц, указанных в абзаце первом пункта 1 настоящей статьи, и"
пункта 1 настоящей статьи,12_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z85"">пункта 1</a> настоящей статьи","Подарки, поступившие без ведома лиц, указанных в абзаце первом пункта 1 настоящей статьи, и"
пункта 5 настоящей статьи,12_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z156"">пункта 5</a> настоящей статьи","Подарки, поступившие без ведома лиц, указанных в абзаце первом пункта 1 настоящей статьи, и"
пункта 1 настоящей статьи,12_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z85"">пункта 1</a> настоящей статьи","Подарки, поступившие без ведома лиц, указанных в абзаце первом пункта 1 настоящей статьи, и"
пунктом 2-1 настоящей статьи,13_p2-1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z190"">пунктом 2-1</a> настоящей статьи","1) участвовать в управлении коммерческой или некоммерческой организацией, за исключением сл"
подпункте 4) настоящего пункта,13_1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z242"">подпункте 4)</a> настоящего пункта","1) участвовать в управлении коммерческой или некоммерческой организацией, за исключением сл"
части первой,13_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z89"">части первой</a>","Лица, указанные в части первой настоящего пункта, в течение тридцати календарных дней со дн"
пункте 1 настоящей статьи,13_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z89"">пункте 1</a> настоящей статьи","7. В случае возникновения права собственности или иного вещного права на имущество, использ"
пункте 1 настоящей статьи,13_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z89"">пункте 1</a> настоящей статьи","7-1. Лица, указанные в пункте 1 настоящей статьи, вправе сдавать в имущественный наем (арен"
пункте 1 настоящей статьи,13_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z89"">пункте 1</a> настоящей статьи","настоящей статьи, лицами, указанными в пункте 1 настоящей статьи, является основанием для прекращен"
пункте 1 настоящей статьи,14_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z97"">пункте 1</a> настоящей статьи","3. Лицам, указанным в пункте 1 настоящей статьи, запрещается занимать должности со своими б"
части первой,14_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z97"">части первой</a>","Лица, нарушающие требования части первой настоящего пункта, если они добровольно в течение"
пункте 4 настоящей статьи,14-1_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z172"">пункте 4</a> настоящей статьи","2. Лица, указанные в пункте 1 настоящей статьи, в течение шести месяцев со дня занятия долж"
пункте 1 настоящей статьи,14-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z167"">пункте 1</a> настоящей статьи","2. Лица, указанные в пункте 1 настоящей статьи, в течение шести месяцев со дня занятия долж"
пункте 1 настоящей статьи,14-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z167"">пункте 1</a> настоящей статьи","В случае, если лица, указанные в пункте 1 настоящей статьи, не могут выполнить требования,"
частью первой,14-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z167"">частью первой</a>","В случае, если лица, указанные в пункте 1 настоящей статьи, не могут выполнить требования,"
пункте 1 настоящей статьи,14-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z167"">пункте 1</a> настоящей статьи","В случае, если лица, указанные в пункте 1 настоящей статьи, не могут выполнить требования,"
пункте 1 настоящей статьи,14-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z167"">пункте 1</a> настоящей статьи",3. В случае получения в результате принятия наследства в соответствии с законодательством Р
пункте 1 настоящей статьи,14-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z167"">пункте 1</a> настоящей статьи","4. Положения пунктов 1, 2 и 3 настоящей статьи не распространяются на лиц, указанных в пунк"
"пунктов 1, 2 и 3 настоящей статьи",14-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z167"">пунктов 1</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z169"">2</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z1500000410#z171"">3</a> настоящей статьи","4. Положения пунктов 1, 2 и 3 настоящей статьи не распространяются на лиц, указанных в пунк"
